problem,instance,cost,dist,time,events,skipped
TWr_RC_8,3,20201709.17,1709.17,31.59,105,89
TWr_C_6,8,10101143.75,1143.75,20.50,100,90
TWdf_C_5,3,10102077.37,2077.37,2.93,108,88
TWr_RC_6,7,20201252.84,1252.84,28.65,93,81
TWdf_RC_7,9,2121.55,2121.55,4.12,146,128
TWdf_R_1,3,20201954.78,1954.78,4.43,147,127
TWdf_C_2,10,2025.34,2025.34,2.72,116,97
TWdf_R_7,7,2483.08,2483.08,4.08,139,117
TWr_RC_8,7,1472.08,1472.08,17.43,91,80
TWr_R_8,6,1295.17,1295.17,15.93,92,79
TWr_R_1,7,1198.26,1198.26,11.83,88,75
TWdf_RC_9,8,10102264.57,2264.57,4.76,131,108
TWh_C_5,5,20201202.40,1202.40,14.39,70,59
TWdf_RC_7,5,10102307.85,2307.85,4.43,151,134
TWr_R_7,5,40401815.82,1815.82,28.91,111,95
TWh_C_6,5,20200985.31,985.31,37.93,95,86
TWdf_RC_6,9,10101626.27,1626.27,3.04,109,93
TWdf_R_9,6,10102637.87,2637.87,5.51,177,155
TWdf_R_9,2,20202708.35,2708.35,4.72,147,124
TWdf_C_7,3,20202365.23,2365.23,4.01,154,130
TWh_R_9,9,10101530.23,1530.23,101.09,122,108
TWr_R_3,5,1461.18,1461.18,33.76,86,70
TWr_RC_3,2,30301254.13,1254.13,19.15,133,123
TWr_C_6,1,1318.12,1318.12,25.16,98,84
TWh_R_7,9,40401023.96,1023.96,15.23,86,71
TWr_R_6,2,1315.38,1315.38,17.42,96,85
TWdf_R_4,1,2800.42,2800.42,4.43,167,145
TWh_R_3,2,10101108.24,1108.24,25.02,97,85
TWr_R_6,3,30301594.15,1594.15,20.86,109,94
TWdf_C_4,10,30303096.31,3096.31,4.57,161,133
TWr_C_6,4,10101259.06,1259.06,16.82,101,86
TWdf_R_3,3,30302229.95,2229.95,4.46,141,121
TWh_R_7,1,20201428.13,1428.13,25.38,90,77
TWh_R_9,10,30301337.92,1337.92,15.42,83,74
TWr_R_5,4,40401440.64,1440.64,19.39,116,103
TWh_RC_7,1,1170.17,1170.17,12.11,77,66
TWdf_RC_1,4,10102496.00,2496.00,3.94,140,119
TWr_R_2,1,20201385.71,1385.71,19.90,126,114
TWr_C_4,7,20201357.60,1357.60,17.62,110,97
TWdf_R_5,6,20202669.04,2669.04,5.43,155,133
TWdf_C_1,9,2196.80,2196.80,4.15,165,143
TWr_C_7,8,10101362.95,1362.95,28.39,113,100
TWh_RC_4,9,30301577.70,1577.70,18.39,116,101
TWr_RC_8,1,10101278.33,1278.33,10.44,85,75
TWdf_RC_9,6,1988.66,1988.66,5.26,160,140
TWh_C_6,8,10101141.88,1141.88,30.78,106,93
TWdf_C_8,6,10101474.35,1474.35,2.36,108,93
TWdf_C_2,6,10102153.59,2153.59,3.51,119,97
TWdf_RC_4,6,1519.42,1519.42,2.65,113,96
TWh_RC_7,10,20201664.09,1664.09,89.54,110,88
TWdf_RC_9,5,20202460.16,2460.16,5.40,155,134
TWr_R_9,8,20201389.27,1389.27,31.09,122,109
TWr_R_9,4,40401544.20,1544.20,24.43,113,99
TWdf_C_7,6,2363.86,2363.86,3.77,130,111
TWdf_RC_9,9,2284.09,2284.09,5.73,159,138
TWr_RC_5,7,40401460.29,1460.29,23.56,94,82
TWr_C_9,8,20200996.22,996.22,10.04,81,70
TWr_C_9,3,20200909.88,909.88,11.95,66,57
TWdf_C_2,9,20203093.44,3093.44,6.61,183,153
TWdf_R_2,10,10102791.43,2791.43,3.71,136,113
TWdf_C_7,9,10102500.23,2500.23,6.91,167,142
TWh_C_4,6,10101475.54,1475.54,17.49,104,92
TWh_R_8,4,10101376.28,1376.28,30.80,93,80
TWr_C_1,7,10101379.20,1379.20,17.75,99,85
TWdf_C_3,9,50503405.88,3405.88,6.13,197,169
TWh_RC_6,5,10101241.19,1241.19,17.78,77,66
TWdf_C_3,1,10101882.59,1882.59,1.85,101,84
TWdf_C_4,9,20203099.91,3099.91,4.82,160,129
TWh_R_5,1,1177.66,1177.66,15.80,89,78
TWdf_C_9,9,20201996.10,1996.10,3.76,149,130
TWh_R_6,5,20201110.46,1110.46,12.41,69,59
TWdf_C_6,4,10102078.44,2078.44,4.10,126,108
TWr_R_6,5,20200957.23,957.23,9.61,77,67
TWdf_C_6,10,20202070.00,2070.00,3.57,114,95
TWh_R_3,4,10101202.57,1202.57,18.97,84,71
TWh_R_1,10,1022.61,1022.61,12.47,79,68
TWdf_RC_7,1,2018.12,2018.12,3.20,113,94
TWr_C_3,2,80801450.59,1450.59,17.70,111,97
TWdf_RC_5,2,10102837.36,2837.36,3.98,153,122
TWh_C_6,2,10101049.06,1049.06,17.06,91,82
TWr_RC_1,2,1491.00,1491.00,22.59,106,93
TWh_C_7,6,1519.77,1519.77,20.20,130,114
TWh_RC_3,6,10101449.78,1449.78,21.46,106,94
TWdf_R_8,3,10102193.10,2193.10,3.97,143,122
TWh_R_5,8,20201215.96,1215.96,33.35,105,92
TWr_C_5,1,30301123.20,1123.20,12.85,86,77
TWr_C_8,6,10101038.59,1038.59,10.78,69,60
TWdf_RC_2,4,2689.85,2689.85,4.28,155,129
TWh_C_1,10,20201332.80,1332.80,23.16,82,69
TWdf_C_9,4,2370.00,2370.00,4.88,171,149
TWr_R_6,8,30301091.08,1091.08,20.96,84,73
TWr_R_4,4,20201255.42,1255.42,12.35,78,65
TWh_RC_8,7,1513.75,1513.75,15.37,87,68
TWh_C_1,9,10101304.00,1304.00,13.71,100,86
TWdf_R_4,2,10102577.08,2577.08,3.93,137,114
TWdf_RC_8,5,10101885.42,1885.42,4.53,138,120
TWdf_R_2,3,10102616.19,2616.19,3.23,119,96
TWr_RC_8,6,10101115.83,1115.83,14.28,64,53
TWh_R_8,8,20201360.97,1360.97,19.00,86,74
TWr_C_5,8,20201521.60,1521.60,14.64,100,86
TWdf_R_5,7,10101575.00,1575.00,2.92,129,114
TWh_RC_2,9,10101193.54,1193.54,14.78,79,69
TWh_C_2,4,10101306.26,1306.26,19.30,94,79
TWh_RC_1,10,10101527.00,1527.00,47.78,94,82
TWdf_RC_8,7,2128.33,2128.33,3.09,114,94
TWh_RC_1,6,30301563.00,1563.00,14.99,99,85
TWh_R_9,5,20201159.59,1159.59,14.03,91,80
TWr_C_3,4,30301544.47,1544.47,14.65,120,109
TWdf_C_8,8,40402449.41,2449.41,3.66,128,105
TWh_R_1,8,1062.61,1062.61,19.87,77,65
TWdf_RC_9,10,1647.56,1647.56,3.04,115,97
TWdf_RC_3,4,10102671.30,2671.30,4.56,178,157
TWh_R_4,3,10101110.83,1110.83,20.10,78,67
TWh_C_2,9,20201658.02,1658.02,26.91,112,96
TWdf_R_5,1,1843.72,1843.72,3.16,118,97
TWh_C_3,3,40401591.06,1591.06,20.03,116,102
TWr_RC_4,4,30301477.12,1477.12,14.91,116,102
TWh_R_6,2,10101374.46,1374.46,29.27,109,96
TWh_R_8,1,20201058.07,1058.07,19.23,111,101
TWr_R_3,1,1250.70,1250.70,13.38,84,70
TWh_RC_6,7,20201123.88,1123.88,24.54,92,81
TWh_R_2,10,30301475.24,1475.24,39.33,101,87
TWdf_C_1,7,10101979.20,1979.20,3.98,133,113
TWh_R_5,6,40401565.11,1565.11,38.87,117,95
TWr_R_8,4,20201273.24,1273.24,31.39,100,88
TWr_RC_5,4,10101656.28,1656.28,26.81,104,88
TWh_C_1,2,1304.00,1304.00,19.72,90,76
TWh_C_7,2,20201345.91,1345.91,20.74,99,82
TWr_RC_7,1,1228.51,1228.51,10.57,95,84
TWr_C_4,9,20201653.22,1653.22,33.39,122,107
TWh_R_6,7,1485.23,1485.23,16.66,108,93
TWdf_RC_7,8,10102288.62,2288.62,4.32,150,130
TWh_C_2,10,1040.61,1040.61,10.21,72,60
TWh_RC_6,10,10101232.24,1232.24,14.06,107,96
TWdf_C_3,3,30303135.53,3135.53,5.15,180,155
TWdf_R_7,4,2295.82,2295.82,4.14,140,118
TWh_R_4,4,20201036.67,1036.67,9.62,78,68
TWdf_R_5,3,1983.19,1983.19,4.07,128,107
TWr_C_3,10,70701819.06,1819.06,57.98,135,115
TWdf_C_7,7,10102147.05,2147.05,4.63,145,123
TWr_C_7,6,1433.86,1433.86,18.36,114,101
TWr_RC_1,7,10101251.00,1251.00,16.70,94,81
TWdf_R_1,1,10101920.00,1920.00,4.12,135,115
TWh_RC_4,8,1297.12,1297.12,13.36,91,79
TWh_R_4,5,20201227.92,1227.92,9.96,80,69
TWr_R_1,8,1102.61,1102.61,23.59,83,71
TWh_R_5,9,10101390.85,1390.85,19.93,128,112
TWdf_R_1,7,1913.04,1913.04,4.05,139,121
TWr_R_5,1,1125.96,1125.96,14.51,78,66
TWr_RC_5,3,20201826.13,1826.13,18.24,127,109
TWdf_R_8,6,2192.69,2192.69,3.89,138,115
TWh_RC_4,5,30301375.68,1375.68,13.21,109,94
TWh_R_8,3,10101316.69,1316.69,13.53,93,82
TWr_RC_7,9,1199.34,1199.34,22.58,97,86
TWr_C_3,1,10101157.65,1157.65,10.97,99,88
TWh_R_9,6,30301567.90,1567.90,32.97,122,108
TWdf_RC_6,1,10102141.19,2141.19,5.00,164,145
TWh_R_6,6,1178.77,1178.77,56.79,93,79
TWr_RC_5,6,20201623.61,1623.61,36.89,110,95
TWr_RC_8,2,20201513.75,1513.75,31.78,112,97
TWdf_C_2,2,50502464.12,2464.12,4.27,134,109
TWh_R_1,2,1168.70,1168.70,10.85,77,68
TWr_RC_3,6,30301336.96,1336.96,11.95,108,94
TWh_R_9,4,30301582.78,1582.78,18.68,107,92
TWdf_RC_1,8,20202335.50,2335.50,3.16,131,111
TWr_C_5,5,20201627.89,1627.89,27.14,109,95
TWdf_C_4,4,10102848.07,2848.07,4.47,154,127
TWh_R_1,7,939.13,939.13,18.20,75,65
TWh_RC_8,5,10101197.92,1197.92,17.82,92,80
TWh_C_6,1,1304.06,1304.06,20.50,102,88
TWr_C_9,1,1673.05,1673.05,24.38,105,91
TWdf_C_5,6,2356.80,2356.80,4.34,132,112
TWdf_R_2,5,20202712.38,2712.38,4.25,167,144
TWh_C_5,2,10101686.17,1686.17,38.84,113,98
TWdf_RC_9,2,2238.11,2238.11,4.51,144,123
TWh_R_2,8,30301566.67,1566.67,20.39,109,89
TWdf_RC_4,10,1755.97,1755.97,2.96,125,106
TWh_RC_8,3,40401665.00,1665.00,49.69,110,95
TWr_C_2,1,20201633.28,1633.28,9.79,90,77
TWr_C_8,4,30301536.47,1536.47,23.25,130,115
TWr_R_3,4,10101208.34,1208.34,24.22,110,100
TWh_C_7,10,10101129.77,1129.77,11.11,93,82
TWdf_C_5,7,10102524.46,2524.46,4.33,165,142
TWr_RC_9,8,10101487.24,1487.24,23.92,101,87
TWh_C_8,4,50501167.53,1167.53,21.53,96,84
TWr_C_8,7,20201381.18,1381.18,22.29,105,90
TWh_C_8,2,1213.65,1213.65,13.16,79,65
TWr_C_6,2,10101258.12,1258.12,12.86,79,69
TWh_R_4,2,10101570.00,1570.00,17.01,91,76
TWr_RC_7,10,10101406.85,1406.85,27.19,112,99
TWh_R_9,7,20201675.75,1675.75,60.24,103,91
TWdf_C_7,1,1653.41,1653.41,4.10,122,106
TWdf_RC_8,9,1716.25,1716.25,2.81,101,86
TWr_RC_4,10,1033.38,1033.38,11.32,76,66
TWdf_C_8,2,2057.88,2057.88,2.83,108,91
TWr_C_6,9,1216.88,1216.88,16.21,90,75
TWr_R_4,8,40401604.17,1604.17,15.16,98,84
TWh_R_9,2,20201546.63,1546.63,37.91,115,100
TWdf_C_5,1,30301924.46,1924.46,3.23,121,104
TWdf_R_3,7,30301777.54,1777.54,3.22,109,91
TWr_RC_8,9,1173.75,1173.75,15.90,73,61
TWr_C_1,5,1353.60,1353.60,14.67,85,73
TWr_C_8,8,40401444.71,1444.71,21.63,116,104
TWdf_C_5,4,2827.54,2827.54,5.24,167,139
TWdf_C_3,10,70703250.59,3250.59,6.72,209,177
TWr_RC_2,3,10101560.00,1560.00,19.16,112,101
TWh_R_3,8,30301497.75,1497.75,28.55,131,114
TWh_RC_1,3,1375.50,1375.50,15.66,115,102
TWdf_C_2,8,10102267.18,2267.18,2.45,104,85
TWh_R_1,5,10101320.00,1320.00,15.09,89,77
TWr_C_3,9,50501858.59,1858.59,27.99,110,92
TWr_C_2,2,50501530.69,1530.69,17.28,106,90
TWr_C_9,7,1127.56,1127.56,15.77,90,79
TWh_C_1,3,1195.20,1195.20,16.24,103,93
TWdf_R_8,9,1556.69,1556.69,2.28,97,79
TWr_R_1,9,10101306.09,1306.09,16.62,87,76
TWr_R_5,10,20201610.74,1610.74,26.12,95,74
TWr_RC_4,6,969.50,969.50,11.65,77,66
TWr_R_8,5,1274.48,1274.48,15.98,81,69
TWr_RC_7,3,1508.95,1508.95,27.42,110,95
TWh_C_9,6,1291.83,1291.83,13.64,99,87
TWr_C_8,9,20201276.71,1276.71,8.62,91,80
TWh_RC_3,1,10101181.74,1181.74,12.86,91,78
TWdf_C_6,7,10102393.44,2393.44,4.21,145,125
TWh_C_9,10,10101348.90,1348.90,28.70,114,102
TWh_C_9,1,10101473.29,1473.29,27.50,104,91
TWdf_C_6,3,2230.31,2230.31,3.37,131,112
TWr_RC_5,2,1554.15,1554.15,14.78,90,77
TWdf_C_9,5,2267.56,2267.56,4.99,166,144
TWdf_R_6,8,30301921.85,1921.85,3.78,144,124
TWh_R_6,4,10101400.31,1400.31,31.40,104,91
TWdf_C_9,3,20201606.83,1606.83,2.85,102,86
TWh_R_8,10,1252.55,1252.55,14.87,103,92
TWdf_RC_2,9,10102184.00,2184.00,3.67,120,98
TWh_RC_2,3,10101493.54,1493.54,15.53,102,89
TWdf_R_8,8,20201837.24,1837.24,5.02,172,154
TWr_C_7,4,10101067.05,1067.05,22.60,86,75
TWh_C_9,3,20200908.05,908.05,18.09,66,56
TWr_C_6,10,20201201.88,1201.88,8.70,77,67
TWdf_C_8,3,10102230.59,2230.59,3.33,116,94
TWh_R_4,8,50501322.92,1322.92,22.27,104,91
TWr_C_5,3,10101142.74,1142.74,10.36,79,67
TWr_RC_6,5,10101230.45,1230.45,12.96,84,72
TWh_C_9,9,20201377.44,1377.44,15.44,99,88
TWh_RC_6,4,20201146.27,1146.27,27.84,104,90
TWdf_C_5,2,10102545.03,2545.03,4.81,160,141
TWh_C_7,1,1131.14,1131.14,9.22,85,75
TWdf_C_1,2,2209.60,2209.60,4.79,148,127
TWr_R_2,2,1365.71,1365.71,10.29,72,61
TWh_R_2,2,1286.67,1286.67,37.45,85,73
TWh_RC_4,7,40401499.14,1499.14,17.51,104,88
TWh_R_8,2,1177.66,1177.66,10.49,86,73
TWh_C_8,7,20201351.06,1351.06,14.85,77,65
TWdf_R_9,9,10102007.80,2007.80,4.21,148,130
TWh_R_6,1,1335.69,1335.69,20.69,97,84
TWdf_C_5,9,30301903.54,1903.54,2.80,117,97
TWr_R_1,6,1361.74,1361.74,28.46,89,77
TWh_RC_5,1,20201672.78,1672.78,82.32,112,98
TWdf_R_5,4,20202591.81,2591.81,4.53,152,129
TWr_C_9,5,10101470.73,1470.73,19.09,99,83
TWr_R_4,6,10101149.58,1149.58,10.14,86,74
TWr_R_4,2,20201622.92,1622.92,16.29,89,72
TWr_R_7,9,40401081.32,1081.32,19.72,88,79
TWh_RC_1,8,20201405.50,1405.50,16.57,84,70
TWr_RC_9,3,10101578.90,1578.90,13.21,94,80
TWh_C_9,7,1249.76,1249.76,18.62,84,70
TWr_R_1,10,933.91,933.91,12.88,100,89
TWdf_R_2,6,10102560.95,2560.95,3.62,123,103
TWdf_R_5,10,10102835.64,2835.64,5.45,158,135
TWh_C_3,6,10101513.41,1513.41,28.78,99,84
TWr_RC_3,8,60601413.91,1413.91,17.31,101,88
TWh_R_7,4,1142.64,1142.64,19.70,82,71
TWdf_R_3,9,40402272.30,2272.30,4.04,154,131
TWdf_RC_5,7,40402846.30,2846.30,4.35,149,119
TWr_C_2,10,1130.38,1130.38,7.98,65,55
TWr_C_5,9,30301282.29,1282.29,11.13,86,74
TWh_RC_3,7,10101407.39,1407.39,20.84,91,77
TWh_C_9,8,20200953.78,953.78,12.19,76,68
TWr_C_2,7,40401349.31,1349.31,28.34,101,88
TWdf_RC_2,6,10102669.54,2669.54,3.84,152,127
TWh_RC_7,5,10101247.73,1247.73,17.12,101,89
TWr_C_8,1,10101496.47,1496.47,17.54,118,106
TWh_R_3,3,30301346.95,1346.95,27.12,101,89
TWr_RC_9,4,1537.64,1537.64,22.59,103,90
TWdf_RC_8,6,10101664.58,1664.58,3.13,121,106
TWdf_R_1,10,1850.43,1850.43,3.45,127,106
TWdf_R_6,6,1787.08,1787.08,4.70,152,133
TWr_RC_8,4,10101539.17,1539.17,16.79,84,71
TWdf_RC_4,3,20202141.87,2141.87,3.31,134,115
TWdf_R_4,3,10102172.08,2172.08,3.46,121,102
TWdf_C_4,2,30302285.15,2285.15,3.58,125,105
TWr_C_2,3,20201225.65,1225.65,12.65,82,70
TWr_R_7,3,30300921.76,921.76,8.80,83,74
TWdf_R_4,6,10101964.17,1964.17,2.91,119,102
TWdf_C_6,6,2362.50,2362.50,3.83,149,127
TWr_C_1,10,20201200.00,1200.00,16.94,85,71
TWr_C_8,10,30301633.41,1633.41,28.60,126,109
TWr_R_2,3,10101710.48,1710.48,20.80,114,100
TWdf_C_6,9,2328.75,2328.75,4.70,146,122
TWh_R_5,3,1315.85,1315.85,38.00,110,95
TWr_C_5,6,1512.00,1512.00,18.23,101,86
TWdf_RC_4,8,2124.60,2124.60,2.70,109,93
TWh_C_7,4,10101326.14,1326.14,31.02,90,79
TWdf_C_9,7,2000.12,2000.12,4.92,153,134
TWdf_RC_8,1,10102142.08,2142.08,2.78,126,109
TWdf_RC_2,5,2290.15,2290.15,3.50,125,107
TWdf_C_5,5,20202564.23,2564.23,3.88,144,122
TWr_RC_2,6,10101315.38,1315.38,13.84,83,72
TWh_R_3,10,40401602.35,1602.35,36.02,92,77
TWdf_R_8,2,2009.38,2009.38,3.59,125,106
TWdf_RC_6,6,2011.34,2011.34,3.92,134,114
TWdf_R_3,10,20202391.02,2391.02,5.78,178,154
TWr_RC_7,5,10101600.44,1600.44,16.07,114,100
TWr_RC_5,10,20201773.87,1773.87,15.48,97,83
TWdf_R_2,8,30303090.48,3090.48,5.45,169,143
TWr_RC_1,5,30301293.00,1293.00,29.48,91,79
TWh_R_9,3,20201446.38,1446.38,22.84,96,85
TWr_RC_9,2,1486.30,1486.30,26.96,123,108
TWh_R_1,3,20201233.04,1233.04,22.38,116,101
TWr_RC_4,1,10101312.23,1312.23,15.29,117,106
TWr_RC_9,6,1237.48,1237.48,12.11,82,69
TWh_RC_8,9,1056.25,1056.25,18.53,72,61
TWdf_C_7,2,20202191.36,2191.36,4.32,138,118
TWdf_R_1,9,10102306.09,2306.09,4.34,132,107
TWdf_C_2,7,40402405.50,2405.50,4.07,152,129
TWr_RC_8,5,10101258.33,1258.33,23.94,109,97
TWh_RC_7,4,1219.89,1219.89,17.72,78,68
TWr_R_8,1,20201170.21,1170.21,14.78,91,78
TWr_C_3,6,10101576.24,1576.24,16.92,104,92
TWh_RC_5,3,60601725.73,1725.73,50.20,117,102
TWdf_RC_8,3,20202860.42,2860.42,5.41,152,127
TWr_RC_4,5,40401456.83,1456.83,12.38,93,81
TWdf_C_3,8,30302632.24,2632.24,4.47,175,149
TWh_R_1,9,10101586.09,1586.09,27.95,134,121
TWr_C_3,7,10101625.65,1625.65,11.49,78,64
TWr_R_1,2,1074.78,1074.78,12.70,74,62
TWdf_RC_9,1,2301.42,2301.42,5.10,137,115
TWh_RC_5,6,10101708.88,1708.88,35.36,126,112
TWdf_C_6,5,20201794.38,1794.38,4.17,130,114
TWdf_C_1,6,2340.80,2340.80,3.92,126,102
TWdf_C_7,5,10102196.82,2196.82,3.37,113,93
TWh_RC_6,6,1235.82,1235.82,16.90,86,76
TWh_C_7,3,20201278.41,1278.41,17.78,94,83
TWr_R_4,5,20201434.58,1434.58,21.96,103,90
TWh_C_1,4,1024.00,1024.00,12.51,79,68
TWdf_RC_4,9,30302953.38,2953.38,4.72,162,133
TWdf_RC_5,8,40402630.37,2630.37,3.37,140,112
TWdf_R_8,4,10102080.55,2080.55,3.47,128,108
TWh_C_7,5,10101615.91,1615.91,17.20,98,85
TWr_R_3,6,1371.34,1371.34,10.99,81,67
TWh_R_6,8,30301024.62,1024.62,9.27,70,60
TWdf_C_1,5,1979.20,1979.20,3.01,113,95
TWdf_C_1,3,2075.20,2075.20,3.58,129,110
TWdf_C_8,4,30302459.29,2459.29,3.95,134,112
TWh_C_5,9,30301306.63,1306.63,14.79,77,64
TWdf_RC_5,9,20202517.94,2517.94,3.11,124,104
TWr_C_4,10,40401610.99,1610.99,23.44,122,107
TWdf_RC_6,4,20202026.57,2026.57,4.29,126,106
TWdf_RC_3,5,1820.22,1820.22,2.78,107,91
TWdf_R_5,5,2422.34,2422.34,4.86,157,135
TWh_R_8,9,1084.14,1084.14,11.45,86,76
TWh_RC_2,1,30301203.69,1203.69,15.73,79,68
TWdf_C_9,2,20202450.85,2450.85,3.86,132,109
TWdf_C_5,10,10101803.77,1803.77,2.94,111,94
TWdf_C_8,9,20202020.24,2020.24,2.68,112,93
TWh_R_7,6,10101220.44,1220.44,12.87,95,84
TWdf_R_6,9,2253.23,2253.23,5.30,150,126
TWh_R_5,2,1125.96,1125.96,13.19,71,62
TWr_RC_6,9,10101041.49,1041.49,23.10,87,76
TWh_RC_6,8,20201468.66,1468.66,21.19,84,74
