Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	24	24	4
2	34	82	11
3	4	125	13
4	74	96	42
5	28	33	47
6	30	31	49
7	18	38	54
8	107	63	60
9	103	106	66
10	4	125	76
11	0	117	86
12	88	72	88
13	24	24	89
14	36	132	90
15	86	102	93
16	103	106	99
17	16	38	103
18	1	24	103
19	64	61	112
20	74	96	112
21	95	35	114
22	95	35	120
23	28	33	125
24	28	78	127
25	67	55	140
26	85	106	140
27	25	26	143
28	103	69	149
29	21	48	151
30	119	136	151
31	127	28	153
32	127	28	153
33	4	30	154
34	109	131	167
35	33	131	183
36	19	39	192
37	99	26	195
38	16	39	195
39	0	117	197
40	4	125	199
41	98	70	199
42	88	35	204
43	109	131	210
44	84	99	217
45	91	108	231
46	61	54	234
47	28	78	235
48	10	137	239
49	101	107	242
50	103	106	251
51	86	37	255
52	118	131	256
53	85	106	263
54	67	55	270
55	101	107	271
56	92	107	297
57	57	59	297
58	119	136	299
59	84	99	303
60	24	24	303
61	4	125	304
62	87	39	313
63	25	26	320
64	21	25	326
65	103	34	331
66	28	33	337
67	127	28	338
68	34	82	341
69	4	125	349
70	64	61	349
71	40	132	350
72	85	106	356
73	95	35	358
74	10	134	363
75	98	70	367
76	4	30	368
77	21	48	370
78	7	115	378
79	59	52	382
80	34	138	382
81	99	26	385
82	77	100	390
83	18	38	394
84	127	28	396
85	86	102	397
86	103	111	398
87	21	26	400
88	30	31	403
89	84	36	410
90	107	105	413
91	61	48	416
92	95	35	429
93	131	31	432
94	8	119	434
95	28	78	438
96	125	108	438
97	61	54	438
98	77	100	439
99	16	38	440
100	24	24	442
101	34	138	446
102	84	99	447
103	4	23	451
104	127	28	453
105	21	26	455
106	134	31	461
107	77	100	470
