Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	137	255	6
2	40	60	23
3	176	117	24
4	125	39	35
5	22	126	56
6	231	235	67
7	176	117	72
8	134	273	74
9	92	90	87
10	115	235	98
11	129	41	130
12	284	30	146
13	230	182	153
14	141	3	164
15	160	111	165
16	67	142	168
17	66	139	178
18	259	212	185
19	250	247	203
20	164	79	222
21	153	74	226
22	28	122	233
23	275	31	257
24	262	50	264
25	52	80	321
26	234	216	333
27	230	182	333
28	153	74	338
29	115	2	342
30	149	130	346
31	257	41	352
32	257	41	361
33	276	38	373
34	175	84	378
35	239	188	388
36	276	38	389
37	87	105	395
38	241	46	406
39	42	123	417
40	169	134	425
41	252	218	427
42	71	126	437
43	230	182	450
44	162	141	450
45	63	135	452
46	65	152	453
47	215	168	458
48	233	189	460
49	134	273	467
50	250	247	469
51	40	60	476
52	40	60	479
