Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	67	55	1
2	97	28	2
3	92	107	2
4	135	65	6
5	90	101	7
6	54	41	13
7	105	2	14
8	15	18	17
9	23	39	22
10	112	13	23
11	121	124	47
12	8	138	50
13	61	59	51
14	89	24	64
15	137	127	71
16	84	88	79
17	28	107	82
18	116	83	83
19	112	13	89
20	137	127	95
21	119	114	99
22	108	30	101
23	15	9	105
24	110	66	112
25	19	39	115
26	91	95	117
27	1	34	117
28	103	69	125
29	39	13	126
30	112	71	131
31	115	134	139
32	61	34	144
33	107	25	147
34	10	86	147
35	94	104	150
36	8	138	152
37	112	71	156
38	118	108	170
39	35	90	171
40	112	13	173
41	107	63	175
42	10	86	181
43	125	68	181
44	58	95	181
45	110	66	182
46	90	44	183
47	10	86	184
48	17	43	185
49	16	39	190
50	90	44	197
51	113	32	198
52	97	29	201
53	112	67	205
54	120	14	212
55	16	39	215
56	41	36	219
57	100	106	222
58	97	28	229
59	89	24	230
60	19	39	237
61	35	102	246
62	112	71	258
63	99	26	263
64	122	131	263
65	90	101	264
66	36	105	267
67	39	13	269
68	84	36	273
69	121	134	275
70	125	68	280
71	116	83	286
72	54	41	286
73	94	104	295
74	112	71	295
75	99	26	296
76	137	127	297
77	61	59	298
78	105	2	301
79	17	37	302
80	90	44	304
81	1	34	305
82	99	26	305
83	16	92	306
84	103	86	309
85	66	91	311
86	23	39	315
87	110	99	319
88	108	30	320
89	22	38	323
90	109	131	325
91	58	95	328
92	1	34	328
93	33	0	333
94	125	108	335
95	54	41	337
96	92	107	341
97	41	36	346
98	66	91	349
99	58	95	354
100	121	112	354
101	36	105	357
102	4	44	360
103	67	55	363
104	83	12	367
105	84	36	369
106	48	47	369
107	22	38	370
108	137	101	372
109	6	25	372
110	35	90	373
111	119	139	379
112	92	107	380
113	99	26	385
114	21	115	387
115	113	32	389
116	36	105	394
117	61	59	397
118	118	114	397
119	117	92	400
120	99	34	401
121	121	110	404
122	4	44	408
123	89	24	414
124	107	25	416
125	135	65	419
126	15	18	419
127	36	105	422
128	113	35	423
129	4	44	428
130	119	114	432
131	96	26	435
132	100	106	437
133	89	39	438
134	83	12	438
135	4	44	444
136	112	13	445
137	36	105	446
138	96	26	446
139	125	68	449
140	135	65	449
141	103	86	450
142	121	124	460
143	35	102	461
144	15	9	461
145	90	101	462
146	84	88	463
147	54	41	467
148	107	25	470
149	89	39	475
150	80	103	477
