Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	13	48	4
2	61	34	6
3	15	9	14
4	20	69	17
5	20	69	22
6	89	24	26
7	18	38	31
8	107	77	36
9	15	9	43
10	99	28	44
11	122	131	51
12	86	37	51
13	4	44	62
14	8	138	63
15	97	12	80
16	107	63	82
17	97	12	84
18	56	139	101
19	8	87	101
20	86	102	110
21	66	91	118
22	57	53	121
23	89	24	133
24	109	139	136
25	16	92	143
26	34	108	147
27	56	139	147
28	85	75	155
29	32	106	155
30	16	92	163
31	56	139	167
32	127	108	179
33	122	131	180
34	118	131	184
35	16	62	184
36	103	82	185
37	84	39	195
38	118	108	198
39	97	12	203
40	84	39	204
41	50	106	212
42	85	75	215
43	140	36	219
44	70	94	228
45	86	102	233
46	61	34	237
47	16	39	238
48	140	36	244
49	64	132	245
50	15	18	246
51	89	39	252
52	16	92	254
53	110	99	256
54	61	34	257
55	140	36	258
56	116	132	262
57	84	39	264
58	107	77	274
59	140	42	280
60	1	24	284
61	86	36	286
62	89	24	289
63	85	106	292
64	86	102	305
65	17	43	307
66	66	91	308
67	28	99	310
68	112	13	313
69	19	39	321
70	109	131	323
71	107	77	335
72	109	78	353
73	122	113	355
74	107	63	356
75	34	108	357
76	122	113	362
77	113	71	376
78	121	123	389
79	115	134	390
80	113	71	390
81	17	43	395
82	20	69	399
83	118	131	401
84	15	9	401
85	121	110	402
86	113	35	403
87	113	35	409
88	15	4	414
89	97	28	419
90	122	131	431
91	82	100	438
92	20	69	439
93	94	105	448
94	90	44	449
95	56	139	450
96	107	77	462
97	28	99	471
