Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	119	214	7
2	191	49	10
3	48	141	12
4	25	64	13
5	38	44	15
6	61	138	21
7	188	69	27
8	234	107	27
9	214	234	29
10	206	121	39
11	15	178	43
12	261	232	44
13	82	35	57
14	166	194	61
15	154	299	63
16	108	3	66
17	246	123	67
18	61	138	72
19	177	281	73
20	25	191	77
21	102	155	78
22	5	189	83
23	3	135	89
24	238	214	98
25	238	206	98
26	78	246	102
27	220	182	102
28	207	149	103
29	56	212	106
30	159	42	113
31	29	8	118
32	246	123	122
33	166	194	126
34	177	281	126
35	4	294	130
36	214	234	135
37	241	183	137
38	176	263	142
39	106	168	144
40	38	44	146
41	247	19	151
42	26	27	152
43	246	133	153
44	110	145	161
45	242	70	162
46	207	149	165
47	140	18	172
48	241	183	172
49	139	146	174
50	205	44	174
51	136	295	176
52	4	294	177
53	297	43	177
54	238	206	180
55	170	53	181
56	180	114	184
57	76	160	190
58	165	179	191
59	119	214	191
60	247	19	193
61	166	194	196
62	191	49	197
63	38	139	203
64	4	294	204
65	208	208	204
66	216	203	209
67	265	141	211
68	188	69	213
69	262	80	217
70	298	135	218
71	246	133	225
72	33	231	228
73	90	44	229
74	154	299	230
75	47	121	230
76	208	208	244
77	261	232	245
78	80	131	250
79	265	141	251
80	140	18	258
81	149	98	259
82	279	189	267
83	80	86	268
84	136	228	270
85	149	98	270
86	214	234	274
87	52	109	279
88	52	109	279
89	242	70	291
90	136	295	296
91	229	25	297
92	188	69	299
93	157	50	303
94	25	191	306
95	103	8	309
96	168	42	310
97	25	191	324
98	61	138	337
99	47	121	337
100	82	35	337
101	72	20	339
102	220	182	339
103	158	291	348
104	157	254	352
105	191	49	366
106	71	294	369
107	64	170	374
108	80	131	381
109	29	8	384
110	52	109	385
111	154	299	387
112	176	263	387
113	154	299	388
114	8	4	388
115	289	79	391
116	119	214	394
117	246	133	396
118	165	179	397
119	157	254	404
120	157	50	404
121	297	43	405
122	157	254	405
123	180	114	409
124	220	182	411
125	71	294	415
126	117	155	415
127	38	44	422
128	279	36	423
129	296	235	423
130	64	170	428
131	247	19	433
132	64	170	433
133	158	291	434
134	8	4	435
135	110	145	437
136	206	121	440
137	261	232	443
138	272	70	443
139	140	18	444
140	4	294	446
141	4	294	458
142	103	8	459
143	248	41	459
144	152	29	466
145	29	130	466
146	110	31	466
147	29	8	466
148	247	19	466
149	25	191	469
150	166	194	473
151	158	291	479
