Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	2	200	0
2	102	42	1
3	287	279	5
4	325	311	22
5	30	349	26
6	384	47	30
7	3	2	41
8	394	299	42
9	3	2	55
10	310	163	69
11	3	2	75
12	250	183	75
13	57	381	118
14	13	220	135
15	148	71	140
16	156	4	146
17	327	115	154
18	230	139	158
19	330	353	166
20	300	319	202
21	378	30	203
22	285	184	203
23	41	399	210
24	36	203	210
25	327	115	215
26	148	71	215
27	376	19	234
28	367	300	235
29	176	154	251
30	259	285	263
31	200	48	267
32	56	156	280
33	200	48	307
34	152	361	342
35	160	313	349
36	110	351	351
37	205	372	363
38	3	2	375
39	36	288	380
40	40	153	388
41	36	286	389
42	250	183	397
43	330	353	405
44	63	166	414
45	26	260	417
46	147	210	430
47	303	258	434
48	152	361	439
49	353	3	443
50	36	286	455
51	259	285	460
52	196	51	463
