Req	X_Coor	Y_Coor	Arr	E	L
0	70	70	-1	0	540
1	101	68	3	300	360
2	101	68	7	180	240
3	115	41	14	360	420
4	100	5	33	120	180
5	116	10	36	420	480
6	106	81	41	420	480
7	92	123	52	180	240
8	105	26	54	120	180
9	69	48	65	240	300
10	50	29	66	240	300
11	94	104	82	240	300
12	77	117	91	120	180
13	80	40	115	360	420
14	74	56	123	480	540
15	116	34	125	420	480
16	30	58	138	240	300
17	47	63	151	240	300
18	78	61	152	240	300
19	116	10	165	480	540
20	106	0	169	360	420
21	116	23	170	420	480
22	94	18	177	180	240
23	103	55	214	300	360
24	6	121	226	240	300
25	18	123	231	240	300
26	26	102	231	360	420
27	4	15	233	360	420
28	60	115	233	420	480
29	116	23	237	420	480
30	79	128	244	420	480
31	116	34	258	480	540
32	49	70	284	480	540
33	98	75	287	300	360
34	6	121	289	360	420
35	116	23	320	480	540
36	119	20	336	360	420
37	103	55	349	360	420
38	102	33	369	480	540
39	61	107	393	420	480
40	49	48	395	420	480
41	74	56	400	480	540
42	96	62	405	480	540
43	95	121	406	420	480
44	119	20	420	480	540
45	30	106	433	480	540
46	91	91	440	480	540
47	78	61	443	480	540
48	28	115	449	480	540
49	24	105	450	480	540
50	101	59	452	480	540
51	11	100	453	480	540
52	4	15	459	480	540
53	101	59	462	480	540
54	95	121	474	480	540
