Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	11	83	5	120	180
2	128	80	11	300	360
3	136	57	12	240	300
4	126	39	13	60	120
5	133	168	13	240	300
6	132	51	19	180	240
7	69	173	21	360	420
8	126	39	22	60	120
9	121	52	35	180	240
10	160	136	38	480	540
11	6	95	38	300	360
12	125	72	40	180	240
13	145	144	43	60	120
14	7	63	54	240	300
15	74	31	59	420	480
16	150	130	62	480	540
17	3	56	68	420	480
18	29	88	77	420	480
19	26	169	82	360	420
20	93	117	89	480	540
21	51	190	90	420	480
22	170	64	93	300	360
23	68	190	94	180	240
24	91	49	98	480	540
25	6	95	101	240	300
26	6	59	102	480	540
27	5	58	104	480	540
28	31	63	105	480	540
29	56	192	110	300	360
30	139	102	111	300	360
31	12	186	114	180	240
32	170	83	118	120	180
33	51	190	120	120	180
34	11	83	121	360	420
35	130	47	124	180	240
36	11	83	129	180	240
37	152	149	129	300	360
38	175	70	130	480	540
39	68	190	136	420	480
40	106	83	143	480	540
41	173	56	146	240	300
42	33	73	151	480	540
43	150	130	156	180	240
44	150	130	167	240	300
45	68	16	169	420	480
46	2	178	174	360	420
47	73	112	174	180	240
48	120	70	181	480	540
49	70	89	181	240	300
50	107	73	181	300	360
51	180	126	182	300	360
52	110	150	185	420	480
53	190	122	185	360	420
54	3	56	187	240	300
55	127	46	190	480	540
56	64	172	201	240	300
57	7	63	213	480	540
58	128	80	213	480	540
59	50	181	240	480	540
60	43	98	244	420	480
61	5	58	252	300	360
62	136	57	254	360	420
63	12	186	268	360	420
64	132	51	271	480	540
65	150	130	271	480	540
66	107	23	278	420	480
67	15	57	279	360	420
68	40	87	292	480	540
69	64	172	296	420	480
70	7	63	300	360	420
71	64	172	314	420	480
72	6	59	319	360	420
73	168	43	320	420	480
74	190	122	323	360	420
75	11	83	330	360	420
76	173	56	331	360	420
77	33	73	332	480	540
78	92	55	346	420	480
79	68	16	349	360	420
80	164	61	351	360	420
81	90	74	358	480	540
82	170	64	360	420	480
83	130	47	369	480	540
84	110	150	383	420	480
85	84	133	398	420	480
86	135	146	399	420	480
87	7	63	400	420	480
88	17	99	409	420	480
89	152	149	420	480	540
90	74	31	441	480	540
91	107	73	442	480	540
92	121	52	450	480	540
93	138	132	452	480	540
94	152	149	476	480	540
95	20	54	479	480	540
