Req	X_Coor	Y_Coor	Arr	E	L
0	150	150	-1	0	540
1	275	97	1	480	540
2	274	97	2	420	480
3	100	73	7	60	120
4	6	168	10	420	480
5	51	217	20	60	120
6	246	137	20	300	360
7	110	31	22	300	360
8	199	28	25	60	120
9	6	168	30	420	480
10	97	232	31	180	240
11	3	119	32	420	480
12	112	43	33	360	420
13	259	240	39	480	540
14	155	180	43	360	420
15	233	119	47	420	480
16	227	80	48	180	240
17	100	73	61	360	420
18	47	277	61	360	420
19	158	27	66	360	420
20	109	148	68	240	300
21	5	195	70	240	300
22	242	73	84	180	240
23	230	128	95	300	360
24	109	299	100	180	240
25	50	285	101	180	240
26	191	234	104	120	180
27	208	47	107	120	180
28	173	72	114	180	240
29	15	178	124	180	240
30	153	61	131	300	360
31	242	73	136	360	420
32	172	2	140	420	480
33	165	204	142	360	420
34	254	87	147	180	240
35	135	251	150	360	420
36	57	125	156	360	420
37	5	195	156	420	480
38	109	299	158	300	360
39	84	231	162	300	360
40	13	202	169	420	480
41	199	28	172	420	480
42	158	140	189	420	480
43	290	219	190	480	540
44	153	61	198	420	480
45	108	109	209	480	540
46	262	62	214	420	480
47	246	166	216	360	420
48	190	181	219	480	540
49	217	73	226	300	360
50	115	196	232	300	360
51	61	70	243	480	540
52	135	251	243	360	420
53	109	61	245	480	540
54	191	234	245	480	540
55	13	265	250	420	480
56	167	176	253	480	540
57	107	39	260	420	480
58	30	243	283	420	480
59	56	116	292	480	540
60	108	109	298	360	420
61	12	10	313	360	420
62	78	236	316	420	480
63	65	56	320	480	540
64	161	22	321	360	420
65	293	62	330	420	480
66	87	183	337	360	420
67	167	176	338	360	420
68	15	178	346	420	480
69	149	282	353	360	420
70	109	61	354	420	480
71	108	109	360	420	480
72	145	182	368	420	480
73	140	214	368	480	540
74	258	232	389	420	480
75	246	137	399	480	540
76	274	6	401	420	480
77	277	101	401	420	480
78	233	119	407	420	480
79	108	113	430	480	540
80	112	43	431	480	540
81	254	87	435	480	540
82	107	39	442	480	540
83	30	226	451	480	540
84	289	79	455	480	540
85	290	219	460	480	540
86	216	62	473	480	540
