Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	172	114	10	180	240
2	110	184	12	480	540
3	68	115	22	360	420
4	190	110	25	120	180
5	59	139	26	180	240
6	188	125	26	240	300
7	111	129	30	300	360
8	187	92	32	120	180
9	110	184	35	60	120
10	85	192	39	480	540
11	138	69	42	60	120
12	110	184	46	360	420
13	172	114	48	480	540
14	110	184	52	360	420
15	185	124	52	300	360
16	162	118	52	420	480
17	13	152	59	180	240
18	164	37	59	180	240
19	85	192	64	180	240
20	80	190	70	480	540
21	185	124	74	420	480
22	125	49	77	360	420
23	48	30	82	240	300
24	124	191	84	420	480
25	197	113	88	360	420
26	74	55	90	300	360
27	89	39	91	180	240
28	12	131	96	480	540
29	172	114	100	360	420
30	80	190	100	300	360
31	67	127	104	420	480
32	122	58	110	180	240
33	89	39	114	420	480
34	100	144	118	180	240
35	26	138	118	120	180
36	7	151	121	360	420
37	8	89	121	300	360
38	48	106	124	180	240
39	124	191	127	180	240
40	28	193	127	240	300
41	122	58	130	420	480
42	48	106	137	180	240
43	80	167	138	360	420
44	97	67	143	360	420
45	97	67	146	240	300
46	129	176	151	240	300
47	188	125	153	480	540
48	140	4	158	480	540
49	89	39	158	180	240
50	22	61	161	360	420
51	140	3	173	180	240
52	66	58	173	240	300
53	8	89	175	300	360
54	48	106	181	240	300
55	190	110	181	240	300
56	59	57	183	480	540
57	154	7	192	240	300
58	68	115	193	300	360
59	80	108	196	240	300
60	137	4	198	360	420
61	140	4	200	240	300
62	28	193	200	300	360
63	138	69	201	420	480
64	122	13	204	360	420
65	48	30	206	480	540
66	68	50	217	360	420
67	59	57	225	420	480
68	100	144	229	360	420
69	26	45	231	480	540
70	15	87	232	480	540
71	92	178	238	300	360
72	140	3	240	360	420
73	79	193	244	420	480
74	40	130	247	420	480
75	68	115	249	480	540
76	185	124	250	360	420
77	103	70	250	420	480
78	80	190	254	360	420
79	59	139	271	360	420
80	188	125	273	360	420
81	110	184	274	420	480
82	60	153	280	360	420
83	63	58	281	420	480
84	20	59	284	300	360
85	185	123	285	360	420
86	12	69	289	480	540
87	74	55	291	300	360
88	89	39	295	480	540
89	83	118	297	480	540
90	60	153	301	480	540
91	15	87	304	360	420
92	159	105	305	360	420
93	135	45	311	360	420
94	8	89	312	420	480
95	135	45	313	480	540
96	53	29	318	360	420
97	195	97	319	420	480
98	63	58	320	360	420
99	63	149	320	360	420
100	154	7	321	420	480
101	41	43	324	360	420
102	79	193	325	360	420
103	65	53	326	480	540
104	104	5	329	480	540
105	80	190	349	360	420
106	59	57	355	420	480
107	99	45	355	420	480
108	59	57	360	480	540
109	174	185	365	420	480
110	59	57	369	480	540
111	97	67	372	420	480
112	138	69	373	480	540
113	57	157	375	480	540
114	5	73	380	480	540
115	80	167	381	420	480
116	98	4	387	480	540
117	21	85	388	420	480
118	193	12	393	420	480
119	78	119	393	480	540
120	73	81	393	480	540
121	174	185	395	420	480
122	7	151	396	480	540
123	135	45	401	420	480
124	20	59	408	420	480
125	154	7	409	420	480
126	185	123	409	420	480
127	12	131	410	420	480
128	125	49	410	480	540
129	103	70	411	480	540
130	174	185	414	420	480
131	127	143	417	420	480
132	8	89	419	480	540
133	185	124	421	480	540
134	59	57	422	480	540
135	74	55	422	480	540
136	122	13	424	480	540
137	110	184	438	480	540
138	107	96	438	480	540
139	140	11	441	480	540
140	158	81	448	480	540
141	187	92	451	480	540
142	103	77	452	480	540
143	135	45	469	480	540
144	129	176	471	480	540
145	59	57	472	480	540
