Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	143	116	2	240	300
2	112	42	4	360	420
3	182	110	6	180	240
4	186	149	14	360	420
5	55	87	15	180	240
6	126	100	26	180	240
7	6	193	61	240	300
8	37	177	69	120	180
9	95	50	99	300	360
10	176	134	111	480	540
11	53	180	111	480	540
12	41	186	119	120	180
13	175	60	128	480	540
14	70	28	140	420	480
15	191	124	141	420	480
16	86	69	155	480	540
17	115	50	158	300	360
18	138	61	164	480	540
19	41	186	183	480	540
20	44	10	195	300	360
21	94	31	202	420	480
22	53	175	210	420	480
23	53	180	219	360	420
24	151	132	244	480	540
25	49	99	249	360	420
26	50	135	251	420	480
27	112	42	251	480	540
28	121	50	253	300	360
29	186	8	256	480	540
30	63	151	271	480	540
31	121	50	280	360	420
32	184	140	289	420	480
33	120	39	292	480	540
34	155	107	304	480	540
35	38	101	329	360	420
36	125	53	344	480	540
37	84	81	367	420	480
38	164	37	371	420	480
39	44	10	373	420	480
40	137	59	377	480	540
41	55	51	401	480	540
42	28	77	430	480	540
43	164	37	449	480	540
44	40	130	459	480	540
45	37	177	468	480	540
46	85	193	477	480	540
