Req	X_Coor	Y_Coor	Arr	E	L
0	200	200	-1	0	540
1	41	399	0	240	300
2	208	86	4	240	300
3	110	351	5	60	120
4	152	361	9	120	180
5	178	103	13	120	180
6	40	153	13	120	180
7	56	156	14	120	180
8	57	381	15	180	240
9	146	301	20	180	240
10	102	149	20	180	240
11	327	11	26	360	420
12	45	85	26	60	120
13	73	4	29	300	360
14	264	69	33	300	360
15	36	286	33	420	480
16	74	231	35	360	420
17	196	51	38	480	540
18	17	348	45	360	420
19	388	106	45	420	480
20	3	2	48	420	480
21	338	315	49	120	180
22	264	69	49	360	420
23	294	184	52	300	360
24	65	335	53	420	480
25	206	286	56	180	240
26	40	153	57	120	180
27	110	351	59	180	240
28	353	3	61	480	540
29	110	241	68	360	420
30	338	315	75	420	480
31	267	221	78	360	420
32	237	243	79	240	300
33	110	351	80	360	420
34	110	351	83	480	540
35	353	3	86	480	540
36	36	288	88	420	480
37	36	203	93	420	480
38	376	19	94	180	240
39	156	4	95	120	180
40	176	154	96	120	180
41	40	153	97	300	360
42	41	399	98	180	240
43	367	300	100	480	540
44	102	42	108	480	540
45	29	86	108	240	300
46	286	308	108	240	300
47	358	309	108	240	300
48	77	319	112	240	300
49	13	220	113	480	540
50	236	119	115	240	300
51	394	299	116	120	180
52	168	15	117	240	300
53	146	301	119	480	540
54	142	238	122	240	300
55	102	149	125	300	360
56	259	285	129	360	420
57	297	137	132	360	420
58	250	183	133	360	420
59	310	163	134	360	420
60	384	47	135	180	240
61	160	313	136	480	540
62	338	315	138	360	420
63	251	70	140	180	240
64	348	319	141	300	360
65	287	279	147	300	360
66	119	286	150	240	300
67	303	258	153	360	420
68	394	299	153	240	300
69	353	357	154	300	360
70	279	337	167	180	240
71	277	143	168	420	480
72	250	183	172	240	300
73	251	70	172	420	480
74	236	119	173	240	300
75	348	319	174	480	540
76	45	85	176	240	300
77	140	387	179	480	540
78	178	103	179	480	540
79	176	154	182	300	360
80	329	208	182	480	540
81	49	187	186	480	540
82	205	372	187	240	300
83	368	278	190	240	300
84	230	139	207	480	540
85	327	11	212	420	480
86	384	47	212	300	360
87	49	187	212	300	360
88	378	30	215	300	360
89	338	315	217	420	480
90	231	6	218	300	360
91	250	183	222	420	480
92	377	29	224	300	360
93	100	15	225	420	480
94	276	298	227	300	360
95	56	156	232	240	300
96	29	86	236	300	360
97	205	372	238	300	360
98	119	286	241	360	420
99	84	221	244	300	360
100	230	139	253	480	540
101	348	319	261	360	420
102	147	210	261	360	420
103	148	71	268	420	480
104	297	137	270	300	360
105	329	208	270	480	540
106	156	4	272	420	480
107	102	149	277	420	480
108	200	48	284	480	540
109	26	199	284	420	480
110	65	335	290	300	360
111	30	349	291	300	360
112	59	285	292	300	360
113	178	103	293	300	360
114	368	278	295	480	540
115	237	243	298	480	540
116	160	313	299	420	480
117	285	184	301	360	420
118	394	299	305	420	480
119	260	352	309	480	540
120	148	71	310	420	480
121	13	220	313	420	480
122	40	153	313	360	420
123	59	285	318	360	420
124	264	69	319	360	420
125	367	300	321	420	480
126	255	80	322	420	480
127	329	208	330	480	540
128	332	124	331	360	420
129	163	207	336	360	420
130	65	335	337	480	540
131	367	300	338	420	480
132	285	184	339	480	540
133	29	86	342	420	480
134	74	231	344	420	480
135	287	279	345	420	480
136	30	349	345	480	540
137	56	156	345	420	480
138	394	299	347	480	540
139	330	353	349	420	480
140	327	11	352	420	480
141	39	34	357	360	420
142	367	300	363	420	480
143	17	348	366	480	540
144	100	15	367	480	540
145	23	317	367	420	480
146	276	298	370	480	540
147	110	351	377	480	540
148	394	299	377	420	480
149	178	103	379	420	480
150	286	308	382	420	480
151	382	49	389	480	540
152	353	3	392	420	480
153	330	353	401	420	480
154	156	4	403	420	480
155	36	288	404	480	540
156	60	319	406	480	540
157	260	352	407	480	540
158	264	69	412	480	540
159	287	279	416	420	480
160	56	97	420	420	480
161	260	352	422	480	540
162	384	47	423	480	540
163	327	11	424	480	540
164	384	47	426	480	540
165	100	15	426	480	540
166	246	152	427	480	540
167	294	184	429	480	540
168	156	4	431	480	540
169	110	351	441	480	540
170	255	80	441	480	540
171	327	115	442	480	540
172	279	337	442	480	540
173	376	19	443	480	540
174	36	288	444	480	540
175	294	184	444	480	540
176	36	203	447	480	540
177	13	220	454	480	540
178	36	288	454	480	540
179	260	352	454	480	540
180	368	278	455	480	540
181	287	279	456	480	540
182	267	221	458	480	540
183	264	69	461	480	540
184	200	48	463	480	540
185	60	319	464	480	540
186	246	152	464	480	540
187	297	137	465	480	540
188	45	85	468	480	540
189	57	381	470	480	540
190	26	260	472	480	540
191	142	238	472	480	540
192	377	29	476	480	540
193	13	220	477	480	540
