Req	X_Coor	Y_Coor	Arr	E	L
0	70	70	-1	0	540
1	77	100	2	46	106
2	35	99	5	320	380
3	113	69	20	258	318
4	113	69	22	391	451
5	99	26	22	190	250
6	95	77	30	51	111
7	19	39	36	300	360
8	29	28	43	174	234
9	95	35	70	354	414
10	28	99	80	162	222
11	21	25	93	451	511
12	4	30	94	333	393
13	74	96	100	401	461
14	121	110	122	387	447
15	115	134	123	408	468
16	139	10	127	182	242
17	92	107	142	285	345
18	134	31	143	205	265
19	92	107	147	444	504
20	0	117	162	477	537
21	4	28	165	212	272
22	16	39	173	408	468
23	28	99	176	359	419
24	67	55	183	250	310
25	57	59	200	463	523
26	21	25	208	257	317
27	22	22	221	239	299
28	29	28	226	353	413
29	77	100	229	445	505
30	28	78	243	455	515
31	24	24	245	362	422
32	10	137	254	414	474
33	61	54	258	323	383
34	19	39	262	405	465
35	103	106	275	371	431
36	7	115	288	346	406
37	84	99	330	351	411
38	61	48	348	404	464
39	88	72	350	419	479
40	127	112	363	441	501
41	67	55	390	411	471
42	131	31	426	464	524
43	132	24	431	479	539
44	86	37	431	474	534
45	28	33	444	476	536
46	132	24	451	462	522
47	62	58	457	469	529
48	35	99	474	474	534
