Req	X_Coor	Y_Coor	Arr	E	L
0	70	70	-1	0	540
1	99	112	1	72	132
2	104	106	1	80	140
3	88	72	2	93	153
4	40	132	4	449	509
5	92	107	7	455	515
6	104	106	7	413	473
7	4	125	8	298	358
8	96	74	12	194	254
9	21	44	12	284	344
10	61	54	13	480	540
11	127	28	14	89	149
12	36	105	15	479	539
13	85	106	15	298	358
14	19	39	18	178	238
15	21	48	19	163	223
16	131	31	19	182	242
17	134	31	25	405	465
18	134	31	26	29	89
19	36	105	26	79	139
20	6	135	28	364	424
21	99	108	30	376	436
22	91	108	31	441	501
23	107	105	31	198	258
24	34	79	33	224	284
25	86	102	36	283	343
26	101	107	45	275	335
27	74	99	48	297	357
28	0	117	48	275	335
29	96	26	50	461	521
30	99	108	53	445	505
31	110	66	54	107	167
32	77	100	56	353	413
33	33	131	68	242	302
34	16	39	68	415	475
35	119	136	75	179	239
36	85	106	77	161	221
37	36	132	81	127	187
38	121	110	81	240	300
39	134	31	84	309	369
40	4	30	85	422	482
41	131	31	86	258	318
42	34	82	86	316	376
43	43	135	89	199	259
44	57	59	89	454	514
45	90	104	94	113	173
46	84	99	95	156	216
47	34	82	98	150	210
48	132	24	98	339	399
49	136	29	100	336	396
50	99	112	103	357	417
51	10	137	105	336	396
52	136	29	106	247	307
53	43	135	112	270	330
54	64	61	116	363	423
55	10	134	122	399	459
56	43	135	132	163	223
57	21	25	134	229	289
58	119	136	134	263	323
59	121	110	140	357	417
60	0	117	145	185	245
61	4	30	151	215	275
62	91	108	154	435	495
63	34	138	154	256	316
64	43	135	157	244	304
65	119	136	157	204	264
66	131	31	157	261	321
67	86	102	162	164	224
68	132	24	162	213	273
69	107	63	170	260	320
70	30	31	175	287	347
71	43	135	176	274	334
72	127	29	180	478	538
73	22	22	181	185	245
74	10	137	183	371	431
75	36	105	185	282	342
76	134	31	192	328	388
77	33	131	194	460	520
78	95	77	195	352	412
79	21	44	195	216	276
80	131	31	202	248	308
81	74	99	202	338	398
82	4	125	206	241	301
83	77	100	206	321	381
84	30	31	209	454	514
85	21	48	211	249	309
86	0	27	212	275	335
87	43	140	214	433	493
88	43	135	217	270	330
89	87	39	222	480	540
90	131	31	222	355	415
91	123	112	224	293	353
92	6	135	227	335	395
93	30	31	229	332	392
94	132	24	232	352	412
95	67	55	235	241	301
96	96	26	237	328	388
97	74	99	237	305	365
98	127	112	239	308	368
99	96	26	242	421	481
100	33	131	243	318	378
101	21	25	244	451	511
102	59	52	245	309	369
103	59	52	245	311	371
104	28	33	249	259	319
105	127	29	253	314	374
106	33	131	254	392	452
107	95	35	254	386	446
108	29	28	256	279	339
109	29	28	257	355	415
110	131	31	257	428	488
111	7	115	259	418	478
112	10	137	265	286	346
113	24	24	266	404	464
114	91	108	267	302	362
115	4	28	269	332	392
116	103	106	270	290	350
117	99	26	270	282	342
118	0	117	271	429	489
119	29	28	275	438	498
120	98	70	280	449	509
121	21	44	281	285	345
122	104	106	283	468	528
123	84	36	288	365	425
124	34	79	293	299	359
125	61	54	297	360	420
126	19	39	299	300	360
127	28	99	301	451	511
128	28	33	302	403	463
129	139	10	307	454	514
130	125	108	313	327	387
131	87	39	333	389	449
132	21	26	338	371	431
133	24	24	339	476	536
134	10	137	339	365	425
135	98	70	342	446	506
136	19	39	343	383	443
137	21	44	344	355	415
138	121	110	344	465	525
139	88	35	345	375	435
140	28	78	350	449	509
141	110	66	352	479	539
142	99	26	356	429	489
143	87	39	359	475	535
144	119	136	360	466	526
145	85	106	362	457	517
146	110	66	365	399	459
147	134	31	366	447	507
148	74	96	366	378	438
149	21	44	366	472	532
150	28	99	369	463	523
151	1	24	369	452	512
152	121	110	370	438	498
153	121	110	372	467	527
154	21	26	376	458	518
155	19	39	377	467	527
156	93	75	379	465	525
157	34	138	383	448	508
158	10	137	385	391	451
159	59	52	385	430	490
160	113	69	389	431	491
161	0	27	390	464	524
162	4	28	392	435	495
163	99	112	393	456	516
164	99	26	395	408	468
165	136	29	398	411	471
166	103	111	399	430	490
167	4	28	399	429	489
168	74	96	403	469	529
169	19	39	408	419	479
170	0	117	410	449	509
171	127	29	415	473	533
172	61	48	418	428	488
173	43	135	419	446	506
174	28	99	425	431	491
175	0	27	431	472	532
176	43	135	432	472	532
177	21	25	433	434	494
178	67	55	439	455	515
179	74	99	449	460	520
180	21	48	449	475	535
181	99	112	451	473	533
182	95	35	452	478	538
183	22	22	453	463	523
184	92	107	457	467	527
185	127	112	459	463	523
186	10	134	459	471	531
187	0	27	460	475	535
188	99	108	460	479	539
189	90	104	463	480	540
190	36	132	467	473	533
191	7	115	475	475	535
192	107	63	476	476	536
193	59	56	478	479	539
194	115	134	478	479	539
