Req	X_Coor	Y_Coor	Arr	E	L
0	40	50	-1	0	540
1	88	30	9	163	223
2	2	40	12	201	261
3	37	47	17	423	483
4	20	20	34	34	94
5	18	80	76	76	136
6	85	25	76	409	469
7	88	35	98	352	412
8	92	30	104	384	444
9	20	82	111	322	382
10	45	65	156	430	490
11	5	5	177	329	389
12	63	65	182	316	376
13	25	30	183	339	399
14	47	47	205	237	297
15	15	80	206	251	311
16	90	35	212	311	371
17	24	58	224	299	359
18	31	67	237	269	329
19	90	35	242	402	462
20	37	47	254	256	316
21	65	35	259	479	539
22	63	23	266	316	376
23	4	18	267	472	532
24	55	82	270	280	340
25	42	12	278	435	495
26	65	20	286	457	517
27	41	37	297	322	382
28	15	75	305	387	447
29	40	60	313	459	519
30	37	31	325	338	398
31	55	54	331	418	478
32	87	30	348	349	409
33	24	58	355	442	502
34	55	82	363	388	448
35	85	35	364	437	497
36	18	80	366	373	433
37	20	20	375	446	506
38	35	40	397	408	468
39	42	10	402	407	467
40	55	54	411	428	488
41	20	85	433	442	502
42	24	58	435	451	511
43	65	82	456	478	538
44	25	30	474	480	540
