Req	X_Coor	Y_Coor	Arr	E	L
0	150	150	-1	0	540
1	55	68	19	339	399
2	148	288	28	150	210
3	250	130	31	237	297
4	236	240	47	54	114
5	233	245	50	231	291
6	64	91	62	456	516
7	150	184	65	88	148
8	54	285	74	298	358
9	112	43	98	149	209
10	134	148	121	129	189
11	213	68	168	195	255
12	234	213	179	236	296
13	223	74	180	274	334
14	136	104	241	365	425
15	72	89	253	361	421
16	155	180	254	423	483
17	131	220	255	449	509
18	255	57	279	439	499
19	132	297	281	390	450
20	234	213	283	320	380
21	241	71	295	438	498
22	54	285	306	390	450
23	205	130	312	350	410
24	213	68	320	366	426
25	278	177	322	357	417
26	72	89	338	427	487
27	155	28	350	362	422
28	165	113	352	357	417
29	227	26	373	428	488
30	145	184	374	459	519
31	34	5	386	462	522
32	279	189	399	476	536
33	279	189	417	433	493
34	70	57	431	474	534
35	5	195	437	454	514
36	212	270	460	465	525
37	235	242	475	476	536
38	255	57	478	478	538
