Req	X_Coor	Y_Coor	Arr	E	L
0	70	70	-1	0	540
1	26	50	3	311	371
2	12	48	4	109	169
3	99	34	6	475	535
4	103	82	9	38	98
5	48	47	13	95	155
6	138	105	14	443	503
7	83	38	21	396	456
8	71	70	36	93	153
9	64	115	38	115	175
10	103	82	38	479	539
11	89	39	38	336	396
12	12	84	38	171	231
13	13	48	41	166	226
14	37	125	47	446	506
15	50	112	48	324	384
16	58	95	49	376	436
17	36	38	57	105	165
18	95	135	59	303	363
19	54	33	62	213	273
20	86	80	71	148	208
21	81	57	75	95	155
22	83	38	76	172	232
23	70	83	77	264	324
24	64	132	78	169	229
25	32	52	79	266	326
26	82	103	80	369	429
27	95	135	85	371	431
28	54	33	86	271	331
29	89	39	94	146	206
30	13	48	96	396	456
31	38	122	98	207	267
32	40	113	100	425	485
33	37	125	101	216	276
34	140	36	107	350	410
35	36	124	107	415	475
36	93	61	117	382	442
37	20	69	117	307	367
38	139	68	123	342	402
39	44	58	124	262	322
40	16	62	125	404	464
41	120	47	128	371	431
42	97	115	130	343	403
43	117	92	134	381	441
44	18	70	139	239	299
45	47	83	142	282	342
46	37	73	143	464	524
47	35	90	143	300	360
48	103	44	156	412	472
49	90	44	158	166	226
50	48	47	160	426	486
51	120	22	161	282	342
52	54	78	163	250	310
53	103	82	165	469	529
54	50	112	170	250	310
55	120	22	172	402	462
56	103	44	173	374	434
57	90	14	174	393	453
58	40	113	178	428	488
59	137	96	189	470	530
60	89	39	195	263	323
61	121	123	196	436	496
62	90	44	202	243	303
63	35	90	206	212	272
64	69	116	208	351	411
65	99	34	208	283	343
66	37	73	209	369	429
67	20	106	217	307	367
68	36	124	219	455	515
69	19	120	221	362	422
70	83	38	221	435	495
71	120	47	223	341	401
72	38	122	223	300	360
73	20	69	226	361	421
74	20	69	229	327	387
75	136	123	230	352	412
76	90	44	235	415	475
77	16	62	235	348	408
78	89	39	236	444	504
79	95	135	237	237	297
80	38	122	242	299	359
81	120	52	244	269	329
82	90	44	245	265	325
83	4	44	255	298	358
84	20	106	262	359	419
85	58	80	262	413	473
86	44	58	263	419	479
87	83	12	264	450	510
88	13	48	266	360	420
89	86	80	267	385	445
90	139	68	268	396	456
91	120	52	271	302	362
92	44	58	272	303	363
93	64	132	273	273	333
94	54	33	276	354	414
95	82	100	278	417	477
96	97	115	280	377	437
97	103	44	280	294	354
98	37	125	282	327	387
99	39	100	282	396	456
100	109	139	289	290	350
101	56	139	291	309	369
102	81	57	299	337	397
103	18	104	304	464	524
104	16	92	306	397	457
105	85	111	307	351	411
106	101	0	307	443	503
107	36	38	309	450	510
108	40	113	309	428	488
109	136	123	310	474	534
110	58	80	312	413	473
111	69	116	313	450	510
112	103	44	318	471	531
113	58	95	322	350	410
114	38	122	325	433	493
115	65	0	326	438	498
116	140	42	331	354	414
117	115	124	333	355	415
118	121	123	344	479	539
119	56	139	345	415	475
120	51	92	345	439	499
121	138	105	347	449	509
122	138	105	348	430	490
123	47	83	350	462	522
124	120	102	351	369	429
125	39	100	352	355	415
126	82	103	353	426	486
127	113	45	353	463	523
128	137	96	356	359	419
129	15	18	357	364	424
130	71	70	361	465	525
131	29	94	362	386	446
132	30	57	363	386	446
133	113	45	363	398	458
134	69	115	364	396	456
135	50	106	368	423	483
136	18	70	375	463	523
137	10	111	376	464	524
138	26	50	377	449	509
139	44	36	377	411	471
140	20	106	380	396	456
141	83	38	382	415	475
142	19	120	385	436	496
143	69	115	386	410	470
144	116	105	389	425	485
145	58	95	391	415	475
146	136	123	393	435	495
147	51	92	395	438	498
148	20	69	407	432	492
149	90	44	407	431	491
150	119	73	408	429	489
151	89	39	408	444	504
152	58	95	410	453	513
153	103	44	412	414	474
154	18	70	413	463	523
155	85	111	415	451	511
156	8	138	417	464	524
157	36	38	418	477	537
158	137	96	419	468	528
159	101	0	423	440	500
160	125	68	424	446	506
161	50	112	426	433	493
162	32	52	427	452	512
163	137	96	430	450	510
164	54	33	431	463	523
165	78	63	433	466	526
166	66	82	439	455	515
167	29	94	445	445	505
168	81	36	446	455	515
169	81	36	448	475	535
170	90	44	450	460	520
171	65	0	451	479	539
172	10	111	451	475	535
173	81	57	451	456	516
174	47	83	461	465	525
175	82	100	462	462	522
176	12	48	463	477	537
177	34	72	463	471	531
178	101	0	471	480	540
179	64	132	471	480	540
180	70	94	474	477	537
