Req	X_Coor	Y_Coor	Arr	E	L
0	200	200	-1	0	540
1	285	184	0	407	467
2	237	243	9	152	212
3	196	51	9	315	375
4	231	6	10	384	444
5	36	203	13	227	287
6	388	106	15	268	328
7	36	288	23	386	446
8	368	278	24	127	187
9	205	372	27	31	91
10	231	6	27	165	225
11	142	238	28	384	444
12	330	353	32	353	413
13	40	153	32	417	477
14	102	42	41	206	266
15	376	19	45	159	219
16	26	199	47	449	509
17	236	119	51	341	401
18	2	200	55	432	492
19	376	19	55	184	244
20	26	260	57	449	509
21	153	315	62	351	411
22	26	260	64	86	146
23	332	124	67	305	365
24	251	70	74	216	276
25	163	207	76	243	303
26	26	199	77	334	394
27	168	15	77	413	473
28	246	152	80	345	405
29	102	149	89	101	161
30	26	260	90	385	445
31	231	6	92	365	425
32	264	69	98	340	400
33	29	86	98	324	384
34	267	221	99	275	335
35	303	258	100	126	186
36	36	203	100	409	469
37	39	34	100	202	262
38	325	311	102	156	216
39	102	149	104	148	208
40	57	381	104	178	238
41	230	139	108	344	404
42	246	152	111	266	326
43	2	200	111	258	318
44	348	319	114	411	471
45	276	298	114	299	359
46	148	71	117	459	519
47	100	15	117	315	375
48	348	319	118	176	236
49	102	149	120	296	356
50	36	288	121	410	470
51	377	29	121	425	485
52	264	69	124	190	250
53	119	286	125	354	414
54	378	30	132	211	271
55	41	399	136	181	241
56	29	86	137	277	337
57	57	381	139	216	276
58	388	106	139	401	461
59	13	220	140	143	203
60	230	139	141	195	255
61	376	19	142	432	492
62	264	69	146	311	371
63	246	152	148	159	219
64	278	221	149	187	247
65	353	3	150	303	363
66	279	337	152	170	230
67	325	311	153	320	380
68	63	166	153	476	536
69	394	299	155	230	290
70	160	313	155	181	241
71	59	285	157	422	482
72	102	149	157	392	452
73	310	163	158	193	253
74	152	361	161	398	458
75	327	115	163	424	484
76	168	15	168	206	266
77	39	34	171	428	488
78	255	80	173	343	403
79	208	86	174	281	341
80	49	187	176	207	267
81	382	49	180	270	330
82	102	42	183	472	532
83	310	163	190	480	540
84	84	221	190	247	307
85	168	15	198	213	273
86	329	208	198	310	370
87	13	220	199	205	265
88	100	15	199	453	513
89	231	6	201	448	508
90	176	154	202	384	444
91	327	115	202	322	382
92	376	19	205	478	538
93	56	97	208	404	464
94	255	80	209	348	408
95	338	315	210	219	279
96	148	71	213	472	532
97	365	303	213	314	374
98	330	353	215	264	324
99	205	372	219	470	530
100	26	199	222	292	352
101	255	80	223	223	283
102	310	163	224	364	424
103	153	315	224	227	287
104	102	149	228	314	374
105	329	208	232	288	348
106	398	258	240	361	421
107	41	399	248	368	428
108	41	399	249	459	519
109	338	315	249	305	365
110	310	163	249	451	511
111	278	221	267	279	339
112	267	221	269	280	340
113	40	153	269	461	521
114	377	29	275	316	376
115	59	285	276	341	401
116	2	200	277	460	520
117	378	30	282	454	514
118	332	124	284	291	351
119	102	42	286	407	467
120	230	139	290	407	467
121	160	313	290	429	489
122	146	301	294	394	454
123	297	137	294	316	376
124	3	2	295	304	364
125	168	15	296	366	426
126	278	221	298	431	491
127	348	319	298	416	476
128	376	19	298	326	386
129	196	51	299	423	483
130	348	319	302	321	381
131	338	315	302	320	380
132	330	353	306	461	521
133	160	313	308	458	518
134	102	42	312	440	500
135	41	399	312	372	432
136	310	163	313	447	507
137	36	203	313	449	509
138	57	381	313	451	511
139	140	387	314	465	525
140	100	15	314	447	507
141	208	86	322	325	385
142	365	303	324	447	507
143	231	6	326	333	393
144	41	399	329	477	537
145	41	399	330	340	400
146	56	97	331	393	453
147	394	299	331	462	522
148	348	319	333	418	478
149	332	124	334	338	398
150	348	319	336	347	407
151	394	299	338	405	465
152	300	319	339	375	435
153	160	313	341	473	533
154	260	352	342	370	430
155	327	11	342	448	508
156	41	399	342	375	435
157	178	103	343	450	510
158	303	258	355	430	490
159	39	34	361	413	473
160	251	70	363	390	450
161	285	184	364	444	504
162	176	154	368	387	447
163	65	335	368	382	442
164	36	286	370	471	531
165	156	4	371	462	522
166	142	238	373	385	445
167	310	163	373	395	455
168	148	71	375	386	446
169	368	278	382	407	467
170	26	260	385	421	481
171	394	299	387	421	481
172	394	299	389	429	489
173	65	335	389	455	515
174	300	319	393	439	499
175	26	260	398	451	511
176	74	231	402	412	472
177	152	361	403	468	528
178	384	47	407	419	479
179	102	42	410	427	487
180	276	298	426	470	530
181	325	311	427	474	534
182	237	243	428	430	490
183	330	353	430	445	505
184	279	337	434	454	514
185	330	353	438	480	540
186	23	317	443	463	523
187	246	152	446	471	531
188	102	149	450	479	539
189	148	71	451	462	522
190	168	15	452	459	519
191	56	156	454	471	531
192	279	337	459	469	529
193	152	361	460	462	522
194	237	243	465	473	533
195	255	80	469	475	535
196	36	286	471	472	532
197	277	143	472	477	537
198	13	220	472	476	536
199	279	337	472	474	534
