problem_type,problem_number,instance,cost,dist,time,events,skipped
TWr_RC,8,3,20201581.25,1581.25,69.04,107,91
TWr_C,6,8,10101039.69,1039.69,49.65,88,76
TWdf_C,5,3,10102041.37,2041.37,4.99,137,114
TWr_RC,6,7,20201034.33,1034.33,63.72,84,75
TWdf_RC,7,9,2079.78,2079.78,8.14,159,135
TWdf_R,1,3,20201980.87,1980.87,7.65,157,131
TWdf_C,2,10,1978.63,1978.63,4.37,118,96
TWdf_R,7,7,2440.88,2440.88,10.03,166,138
TWr_RC,8,7,10101440.83,1440.83,41.22,89,73
TWr_R,8,6,1217.79,1217.79,35.49,90,77
TWr_R,1,7,1086.96,1086.96,29.51,109,98
TWdf_RC,9,8,10102296.69,2296.69,14.72,175,143
TWh_C,5,5,20201325.49,1325.49,71.21,112,100
TWdf_RC,7,5,10102306.52,2306.52,10.08,160,132
TWr_R,7,5,50501727.47,1727.47,48.53,112,98
TWh_C,6,5,20201203.75,1203.75,122.43,90,77
TWdf_RC,6,9,10101568.06,1568.06,8.21,126,99
TWdf_R,9,6,10102516.96,2516.96,11.13,185,158
TWdf_R,9,2,20202564.96,2564.96,10.37,165,135
TWdf_C,7,3,20202237.05,2237.05,7.06,157,131
TWh_R,9,9,10101362.23,1362.23,155.43,117,100
TWr_R,3,5,1535.61,1535.61,52.34,105,90
TWr_RC,3,2,30301256.74,1256.74,29.09,119,102
TWr_C,6,1,1270.31,1270.31,44.15,105,92
TWh_R,7,9,40401159.78,1159.78,75.30,106,96
TWr_R,6,2,1333.85,1333.85,52.51,91,74
TWdf_R,4,1,2785.83,2785.83,6.71,174,147
TWh_R,3,2,10101160.86,1160.86,43.04,92,82
TWr_R,6,3,20201472.31,1472.31,35.62,113,99
TWdf_C,4,10,30302992.79,2992.79,7.08,177,149
TWr_C,6,4,10101202.81,1202.81,54.74,106,93
TWdf_R,3,3,30302060.53,2060.53,9.18,166,141
TWh_R,7,1,20201422.86,1422.86,71.40,105,90
TWh_R,9,10,30301337.62,1337.62,69.68,96,82
TWr_R,5,4,20201658.30,1658.30,55.04,130,108
TWh_RC,7,1,1084.64,1084.64,22.55,82,68
TWdf_RC,1,4,10102383.50,2383.50,9.06,170,140
TWr_R,2,1,30301398.10,1398.10,46.70,106,88
TWr_C,4,7,20201328.24,1328.24,37.98,113,98
TWdf_R,5,6,20202655.32,2655.32,15.36,189,157
TWdf_C,1,9,2004.80,2004.80,7.44,155,126
TWr_C,7,8,20201347.27,1347.27,48.74,107,93
TWh_RC,4,9,30301399.86,1399.86,36.99,88,73
TWr_RC,8,1,10101248.75,1248.75,28.81,84,73
TWdf_RC,9,6,1944.57,1944.57,9.42,168,142
TWh_C,6,8,10101073.44,1073.44,95.63,89,77
TWdf_C,8,6,10101474.35,1474.35,3.14,116,97
TWdf_C,2,6,10102042.75,2042.75,9.00,140,114
TWdf_RC,4,6,1432.23,1432.23,3.93,113,94
TWh_RC,7,10,10101724.42,1724.42,242.66,121,99
TWdf_RC,9,5,20202292.60,2292.60,11.51,179,151
TWr_R,9,8,20201425.42,1425.42,41.68,105,90
TWr_R,9,4,40401614.68,1614.68,69.55,106,91
TWdf_C,7,6,2224.09,2224.09,8.34,150,123
TWdf_RC,9,9,2294.17,2294.17,8.80,155,131
TWr_RC,5,7,40401632.55,1632.55,90.86,104,83
TWr_C,9,8,20200968.05,968.05,23.10,102,89
TWr_C,9,3,20200914.63,914.63,34.34,70,62
TWdf_C,2,9,20203081.53,3081.53,12.39,222,184
TWdf_R,2,10,10102709.52,2709.52,5.71,153,124
TWdf_C,7,9,10102502.95,2502.95,11.26,175,143
TWh_C,4,6,10101181.97,1181.97,46.21,92,81
TWh_R,8,4,20201389.93,1389.93,34.48,94,82
TWr_C,1,7,10101337.60,1337.60,48.73,102,89
TWdf_C,3,9,50503541.41,3541.41,11.04,197,159
TWh_RC,6,5,10101157.01,1157.01,33.88,90,80
TWdf_C,3,1,10101882.59,1882.59,2.68,111,91
TWdf_C,4,9,20202986.09,2986.09,8.17,161,131
TWh_R,5,1,1314.57,1314.57,68.02,86,76
TWdf_C,9,9,20201898.78,1898.78,7.17,146,123
TWh_R,6,5,20201098.46,1098.46,24.20,103,91
TWdf_C,6,4,10101928.44,1928.44,8.75,152,129
TWr_R,6,5,20200866.77,866.77,31.07,68,57
TWdf_C,6,10,20202012.81,2012.81,5.46,126,102
TWh_R,3,4,10101336.04,1336.04,51.39,99,86
TWh_R,1,10,1012.17,1012.17,20.64,90,76
TWdf_RC,7,1,1945.86,1945.86,7.41,161,134
TWr_C,3,2,70701644.71,1644.71,45.31,115,98
TWdf_RC,5,2,10102781.32,2781.32,5.78,174,144
TWh_C,6,2,10101011.56,1011.56,31.76,68,57
TWr_RC,1,2,1477.50,1477.50,46.81,103,90
TWh_C,7,6,1388.86,1388.86,50.24,139,123
TWh_RC,3,6,10101411.30,1411.30,43.45,95,83
TWdf_R,8,3,10102121.52,2121.52,6.39,136,110
TWh_R,5,8,10101251.06,1251.06,93.16,116,98
TWr_C,5,1,30301070.06,1070.06,27.98,97,86
TWr_C,8,6,10101049.41,1049.41,27.72,77,66
TWdf_RC,2,4,2563.38,2563.38,7.85,166,135
TWh_C,1,10,20201376.00,1376.00,54.57,86,75
TWdf_C,9,4,2230.98,2230.98,12.22,184,151
TWr_R,6,8,30301205.54,1205.54,27.35,98,82
TWr_R,4,4,20201191.67,1191.67,19.71,93,81
TWh_RC,8,7,1361.67,1361.67,33.68,98,84
TWh_C,1,9,1163.20,1163.20,29.90,116,107
TWdf_R,4,2,10102429.17,2429.17,7.30,153,124
TWdf_RC,8,5,10101928.33,1928.33,10.09,143,117
