problem_type,problem_number,instance,cost,dist,time,events,skipped
TWr_RC,8,3,20201682.92,1682.92,104.31,396,10
TWr_C,6,8,10101153.12,1153.12,81.41,356,9
TWdf_C,5,3,10102041.37,2041.37,8.72,377,0
TWr_RC,6,7,20201111.34,1111.34,75.53,338,10
TWdf_RC,7,9,2209.06,2209.06,9.66,377,0
TWdf_R,1,3,20201904.35,1904.35,11.18,419,0
TWdf_C,2,10,2022.60,2022.60,7.14,338,0
TWdf_R,7,7,2490.99,2490.99,12.79,374,0
TWr_RC,8,7,10101367.08,1367.08,66.17,396,1
TWr_R,8,6,1233.93,1233.93,65.34,373,5
TWr_R,1,7,1137.39,1137.39,68.42,418,3
TWdf_RC,9,8,10102266.14,2266.14,10.65,383,0
TWh_C,5,5,20201325.14,1325.14,73.79,381,2
TWdf_RC,7,5,10102268.07,2268.07,9.80,369,0
TWr_R,7,5,40401714.29,1714.29,80.56,346,15
TWh_C,6,5,20201162.50,1162.50,83.24,365,3
TWdf_RC,6,9,10101594.93,1594.93,7.92,354,0
TWdf_R,9,6,10102611.75,2611.75,11.99,410,0
TWdf_R,9,2,20202712.91,2712.91,11.73,432,0
TWdf_C,7,3,20202237.05,2237.05,8.04,327,0
TWh_R,9,9,10101374.38,1374.38,59.82,344,11
TWr_R,3,5,1559.36,1559.36,84.87,394,0
TWr_RC,3,2,40401380.65,1380.65,56.20,378,1
TWr_C,6,1,1181.25,1181.25,84.72,400,5
TWh_R,7,9,40401169.01,1169.01,66.76,334,7
TWr_R,6,2,1287.69,1287.69,72.94,370,9
TWdf_R,4,1,2800.42,2800.42,9.94,408,0
TWh_R,3,2,10101260.96,1260.96,66.78,357,11
TWr_R,6,3,20201584.00,1584.00,72.45,369,6
TWdf_C,4,10,30302912.96,2912.96,9.32,387,0
TWr_C,6,4,10101285.31,1285.31,69.88,356,8
TWdf_R,3,3,30302142.03,2142.03,10.96,407,0
TWh_R,7,1,20201527.69,1527.69,63.30,349,12
TWh_R,9,10,20201447.59,1447.59,64.94,334,15
TWr_R,5,4,20201539.26,1539.26,58.95,377,2
TWh_RC,7,1,1185.41,1185.41,65.81,354,6
TWdf_RC,1,4,10102394.00,2394.00,9.35,385,0
TWr_R,2,1,40401420.00,1420.00,49.07,345,5
TWr_C,4,7,20201373.05,1373.05,56.95,363,5
TWdf_R,5,6,20202623.72,2623.72,12.15,390,0
TWdf_C,1,9,2059.20,2059.20,9.55,404,0
TWr_C,7,8,10101351.36,1351.36,80.37,396,4
TWh_RC,4,9,30301465.90,1465.90,65.91,346,10
TWr_RC,8,1,10101260.42,1260.42,36.21,285,7
TWdf_RC,9,6,1941.73,1941.73,10.20,400,0
TWh_C,6,8,10101347.19,1347.19,89.35,390,7
TWdf_C,8,6,10101474.35,1474.35,6.99,344,0
TWdf_C,2,6,10102107.79,2107.79,9.56,395,0
TWdf_RC,4,6,1450.79,1450.79,6.39,352,0
TWh_RC,7,10,30301530.83,1530.83,118.83,424,4
TWdf_RC,9,5,20202293.86,2293.86,13.26,452,0
TWr_R,9,8,20201301.47,1301.47,87.55,406,0
TWr_R,9,4,30301770.84,1770.84,63.92,363,4
TWdf_C,7,6,2207.05,2207.05,9.63,388,0
TWdf_RC,9,9,2362.52,2362.52,11.79,385,0
TWr_RC,5,7,40401591.63,1591.63,77.92,396,6
TWr_C,9,8,20200968.05,968.05,54.83,392,5
TWr_C,9,3,20200863.41,863.41,58.73,265,11
TWdf_C,2,9,20203036.64,3036.64,12.12,400,0
TWdf_R,2,10,10102710.48,2710.48,8.45,370,0
TWdf_C,7,9,10102454.55,2454.55,12.95,410,0
TWh_C,4,6,10101336.48,1336.48,54.57,300,10
TWh_R,8,4,20201315.03,1315.03,85.84,408,2
TWr_C,1,7,10101267.20,1267.20,71.26,376,12
TWdf_C,3,9,50503489.88,3489.88,9.55,362,0
TWh_RC,6,5,10101158.81,1158.81,70.97,388,2
TWdf_C,3,1,10101882.59,1882.59,4.79,292,0
TWdf_C,4,9,30303037.60,3037.60,10.04,404,0
TWh_R,5,1,1313.94,1313.94,67.89,357,3
TWdf_C,9,9,20201881.95,1881.95,9.32,374,0
TWh_R,6,5,20201091.08,1091.08,64.79,394,4
TWdf_C,6,4,10101883.44,1883.44,10.90,379,0
TWr_R,6,5,20200876.92,876.92,57.02,326,9
TWdf_C,6,10,20202045.62,2045.62,8.41,361,0
TWh_R,3,4,10101305.24,1305.24,65.08,354,2
TWh_R,1,10,1017.39,1017.39,49.53,329,5
TWdf_RC,7,1,1960.44,1960.44,8.00,327,0
TWr_C,3,2,80801807.06,1807.06,57.40,425,1
TWdf_RC,5,2,10102828.77,2828.77,7.92,346,0
TWh_C,6,2,10101014.38,1014.38,91.68,418,4
TWr_RC,1,2,1558.50,1558.50,80.23,389,2
TWh_C,7,6,1427.73,1427.73,57.86,363,2
TWh_RC,3,6,10101606.96,1606.96,69.62,374,3
TWdf_R,8,3,10102121.52,2121.52,8.27,362,0
TWh_R,5,8,1237.98,1237.98,76.55,366,2
TWr_C,5,1,30301070.06,1070.06,69.59,449,0
TWr_C,8,6,10100975.06,975.06,59.91,412,2
TWdf_RC,2,4,2590.15,2590.15,10.05,402,0
