Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	228	223	0
2	259	59	5
3	143	111	6
4	106	77	9
5	10	147	10
6	60	156	11
7	227	214	12
8	149	186	13
9	54	285	14
10	125	228	19
11	25	99	22
12	218	3	29
13	65	49	29
14	147	281	30
15	111	52	31
16	204	127	33
17	259	126	37
18	108	109	41
19	133	99	42
20	166	113	43
21	257	137	50
22	125	228	53
23	143	111	56
24	82	31	60
25	203	125	63
26	149	186	65
27	60	156	69
28	173	13	73
29	147	67	78
30	54	285	82
31	212	26	84
32	106	77	85
33	63	7	87
34	164	95	88
35	81	223	91
36	228	220	99
37	275	182	101
38	119	253	102
39	63	7	103
40	212	26	103
41	240	73	104
42	270	37	104
43	52	231	105
44	284	176	109
45	125	228	110
46	275	100	114
47	147	281	116
48	114	204	117
49	233	242	118
50	259	59	123
51	259	59	125
52	212	26	126
53	164	95	128
54	67	161	129
55	165	182	129
56	67	161	131
57	228	220	133
58	167	105	134
59	258	247	135
60	173	72	144
61	271	101	144
62	233	242	154
63	149	186	155
64	125	228	162
65	82	31	165
66	227	214	168
67	231	70	168
68	233	245	173
69	60	15	174
70	174	71	177
71	113	50	178
72	28	103	179
73	131	226	180
74	131	226	181
75	212	26	182
76	64	53	184
77	134	148	186
78	259	59	192
79	240	73	195
80	147	178	196
81	18	206	196
82	143	288	197
83	157	266	198
84	149	186	198
85	127	101	198
86	216	157	203
87	202	133	208
88	127	101	210
89	184	12	214
90	65	49	217
91	106	77	217
92	216	157	220
93	82	31	220
94	209	127	221
95	63	233	221
96	81	223	225
97	25	141	228
98	157	266	229
99	145	184	229
100	228	223	230
101	165	182	234
102	227	214	236
103	63	7	237
104	262	211	241
105	233	245	247
106	37	53	248
107	261	212	248
108	25	141	249
109	262	211	250
110	60	15	254
111	119	253	257
112	143	111	257
113	174	79	260
114	212	26	260
115	113	50	263
116	25	50	264
117	209	127	265
118	70	57	266
119	145	184	266
120	81	223	267
121	259	59	271
122	64	53	275
123	262	211	275
124	63	7	275
125	29	94	276
126	113	114	277
127	212	26	279
128	204	127	281
129	157	266	289
130	259	59	289
131	67	154	290
132	211	150	291
133	173	72	292
134	67	154	292
135	261	212	294
136	121	181	296
137	229	217	296
138	25	50	298
139	164	95	298
140	113	114	298
141	212	159	299
142	60	64	299
143	284	176	301
144	125	228	305
145	127	101	306
146	67	154	306
147	174	71	311
148	111	52	314
149	25	50	315
150	121	181	317
151	229	217	318
152	134	148	318
153	107	71	319
154	113	50	320
155	143	288	324
156	4	149	325
157	147	178	326
158	133	99	326
159	145	184	331
160	227	222	333
161	145	184	336
162	212	26	336
163	67	161	336
164	121	181	337
165	228	223	338
166	52	231	342
167	149	186	349
168	37	53	350
169	211	150	351
170	107	71	353
171	259	59	360
172	63	233	361
173	262	211	365
174	52	231	365
175	157	266	368
176	233	245	370
177	202	133	370
178	108	109	372
179	157	266	373
180	184	12	378
181	131	228	379
182	64	53	379
183	149	186	379
184	143	288	385
185	229	217	387
186	63	233	389
187	18	206	402
188	218	3	402
189	239	77	402
190	228	220	404
191	25	141	405
192	228	220	406
193	280	130	407
194	63	7	408
195	228	220	408
196	131	226	409
197	164	95	410
198	228	220	411
199	165	182	417
200	128	172	418
201	63	7	419
202	145	184	421
203	147	67	421
204	114	204	431
205	259	126	433
206	67	161	434
207	227	214	434
208	25	141	440
209	151	294	444
210	141	137	446
211	131	228	446
212	157	266	446
213	25	99	447
214	143	288	451
215	141	137	453
216	284	176	457
217	284	176	457
218	233	245	459
219	165	182	460
220	202	133	466
221	60	64	467
222	209	127	467
223	141	137	471
224	107	71	472
225	233	242	475
226	233	245	476
227	261	212	476
228	70	57	476
229	111	52	477
