Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	67	142	12
2	250	234	14
3	67	142	46
4	42	123	52
5	34	50	62
6	122	24	84
7	182	178	93
8	178	240	106
9	250	247	123
10	101	31	154
11	262	237	157
12	250	247	175
13	275	31	178
14	160	244	187
15	225	70	191
16	160	111	199
17	175	84	222
18	242	263	232
19	52	80	232
20	250	247	256
21	262	50	258
22	34	50	264
23	175	84	279
24	273	18	292
25	276	38	293
26	125	39	295
27	28	122	324
28	227	187	332
29	274	195	338
30	279	44	340
31	153	64	351
32	227	187	366
33	234	216	380
34	122	246	395
35	215	168	420
36	125	39	427
37	67	142	447
