Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	15	9	1
2	35	90	5
3	108	30	9
4	103	82	19
5	137	101	22
6	89	39	22
7	33	0	25
8	112	71	26
9	39	13	32
10	33	0	35
11	87	39	36
12	15	9	37
13	4	28	41
14	102	60	44
15	117	92	51
16	4	44	57
17	91	95	61
18	23	39	72
19	6	25	73
20	20	39	75
21	33	0	77
22	105	2	82
23	120	14	87
24	99	26	96
25	121	124	98
26	125	108	99
27	127	108	106
28	112	67	123
29	90	101	131
30	113	35	145
31	118	131	151
32	6	25	157
33	10	86	181
34	139	110	183
35	100	99	183
36	66	91	185
37	105	2	185
38	118	108	195
39	70	94	202
40	84	36	204
41	35	90	208
42	121	134	209
43	41	36	211
44	89	24	215
45	113	45	228
46	127	108	234
47	33	0	236
48	61	59	237
49	83	12	238
50	8	87	239
51	41	36	240
52	61	59	241
53	22	38	252
54	121	124	252
55	66	91	253
56	61	59	253
57	94	104	254
58	99	26	264
59	85	75	271
60	20	39	278
61	41	36	282
62	41	36	288
63	8	138	288
64	108	30	288
65	50	112	290
66	21	115	300
67	122	131	301
68	90	44	303
69	97	28	305
70	95	35	313
71	90	101	314
72	113	35	314
73	78	63	320
74	54	41	322
75	103	86	326
76	122	131	328
77	112	71	333
78	23	39	342
79	67	55	358
80	16	92	364
81	59	56	364
82	115	134	370
83	121	110	372
84	6	25	389
85	103	82	407
86	94	104	408
87	70	94	409
88	6	25	416
89	39	13	418
90	97	29	419
91	61	59	422
92	100	99	424
93	39	13	425
94	61	59	427
95	59	56	440
96	23	39	440
97	16	39	441
98	118	108	449
99	17	43	450
100	110	99	453
101	8	138	458
102	84	88	465
103	17	37	467
104	121	134	467
105	35	102	472
