Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	187	112	1
2	100	144	4
3	172	179	7
4	110	184	7
5	67	127	7
6	26	45	8
7	107	96	14
8	179	151	16
9	172	179	19
10	39	112	21
11	97	67	23
12	8	89	24
13	73	81	25
14	65	53	28
15	48	106	29
16	92	178	38
17	180	147	40
18	80	167	44
19	129	176	46
20	35	160	48
21	26	138	52
22	39	112	52
23	80	108	54
24	195	97	57
25	193	111	67
26	187	92	77
27	5	73	81
28	140	11	84
29	179	141	92
30	184	140	93
31	138	69	93
32	129	176	95
33	21	85	103
34	127	143	111
35	68	115	114
36	187	112	116
37	188	125	116
38	10	67	119
39	98	4	120
40	193	12	123
41	80	167	123
42	122	58	124
43	104	5	124
44	41	43	124
45	63	58	126
46	138	69	136
47	73	81	140
48	48	106	144
49	184	140	146
50	179	141	149
51	89	39	156
52	140	11	158
53	26	45	159
54	185	124	161
55	162	118	166
56	65	53	172
57	98	4	175
58	39	112	175
59	92	178	179
60	140	4	189
61	59	57	199
62	5	73	199
63	12	131	211
64	35	160	217
65	99	45	221
66	111	129	221
67	78	119	222
68	158	81	232
69	137	4	235
70	158	81	237
71	39	112	238
72	103	77	238
73	18	35	238
74	107	96	250
75	68	115	250
76	35	160	254
77	20	59	255
78	193	111	258
79	60	153	260
80	74	55	260
81	149	78	273
82	78	119	278
83	158	81	279
84	172	114	280
85	63	149	281
86	179	151	289
87	162	118	296
88	35	160	298
89	59	139	301
90	18	35	303
91	97	67	305
92	57	157	307
93	73	81	311
94	60	153	313
95	7	151	315
96	193	111	315
97	66	58	315
98	12	69	319
99	80	167	319
100	127	143	322
101	78	169	324
102	140	4	328
103	15	87	340
104	98	4	344
105	78	119	347
106	187	112	347
107	63	58	352
108	172	114	352
109	63	149	356
110	60	153	365
111	79	193	369
112	74	55	370
113	48	106	372
114	159	105	383
115	63	58	383
116	53	29	385
117	67	127	388
118	125	49	394
119	135	45	398
120	5	73	409
121	197	113	411
122	65	53	416
123	104	5	418
124	103	70	419
125	80	167	424
126	104	5	431
127	78	169	432
128	159	105	438
129	125	49	445
130	85	192	446
131	41	43	448
132	63	192	449
133	168	119	450
134	26	138	456
135	187	92	456
136	48	106	462
137	79	193	463
138	59	139	465
139	158	81	469
140	149	78	469
141	97	67	470
142	60	153	475
143	39	112	479
