Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	36	124	1
2	119	73	8
3	88	29	16
4	23	19	20
5	135	65	24
6	44	36	26
7	92	22	37
8	112	13	39
9	112	13	49
10	95	135	55
11	12	138	63
12	23	39	67
13	12	138	92
14	95	135	95
15	37	138	104
16	66	91	118
17	4	44	121
18	85	75	124
19	58	95	128
20	60	84	144
21	98	4	145
22	82	100	151
23	70	83	164
24	107	77	167
25	54	33	170
26	49	140	181
27	116	13	194
28	5	99	203
29	60	84	213
30	44	58	225
31	78	111	235
32	35	90	248
33	60	84	257
34	139	68	263
35	12	138	264
36	4	71	274
37	15	4	279
38	120	22	281
39	70	83	288
40	86	40	291
41	50	106	320
42	54	33	374
43	104	139	390
44	37	125	396
45	27	46	404
46	139	68	407
47	120	52	414
48	139	68	428
49	71	70	454
50	120	52	479
