Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	61	138	3
2	176	263	7
3	110	31	9
4	246	123	11
5	208	208	12
6	262	80	26
7	242	70	31
8	149	98	35
9	205	44	41
10	136	295	48
11	296	235	54
12	72	20	57
13	80	131	65
14	241	183	69
15	188	69	73
16	82	35	74
17	166	194	77
18	29	8	81
19	80	86	93
20	157	254	96
21	71	294	99
22	106	168	103
23	250	124	109
24	282	104	111
25	159	42	119
26	15	178	128
27	103	8	130
28	56	212	131
29	177	281	133
30	117	155	134
31	247	19	139
32	26	27	166
33	238	214	167
34	117	155	171
35	248	41	177
36	246	123	178
37	26	27	186
38	119	214	208
39	8	4	213
40	33	231	214
41	246	123	239
42	117	155	239
43	247	19	241
44	33	231	249
45	165	179	253
46	248	41	253
47	82	35	262
48	166	194	277
49	25	191	278
50	90	44	293
51	238	206	295
52	15	52	300
53	110	31	303
54	298	135	303
55	107	39	309
56	26	27	310
57	110	145	319
58	191	49	321
59	52	109	322
60	234	107	326
61	61	138	329
62	119	214	333
63	136	228	336
64	198	159	355
65	261	232	357
66	38	139	377
67	38	44	385
68	78	246	395
69	37	126	398
70	272	70	398
71	117	155	407
72	52	109	414
73	238	214	416
74	297	43	423
75	205	44	424
76	229	25	433
77	90	44	436
78	165	179	442
79	280	158	447
80	220	182	450
81	61	138	452
82	176	263	452
83	107	39	454
84	119	214	455
85	234	107	455
86	280	158	464
87	191	49	468
88	34	150	471
89	57	127	479
