Req	X_Coor	Y_Coor	Arr	E	L
0	40	50	-1	0	540
1	0	40	3	480	540
2	75	55	8	180	240
3	28	70	24	240	300
4	47	40	26	300	360
5	42	15	26	300	360
6	25	50	28	480	540
7	42	58	30	300	360
8	8	40	31	180	240
9	44	25	31	180	240
10	8	62	38	180	240
11	50	40	39	180	240
12	48	30	49	360	420
13	22	85	50	360	420
14	47	40	52	360	420
15	85	25	60	60	120
16	28	70	61	300	360
17	32	20	61	480	540
18	50	35	67	420	480
19	62	69	76	240	300
20	52	75	76	360	420
21	95	35	78	240	300
22	8	45	81	180	240
23	75	55	81	480	540
24	22	75	89	300	360
25	20	85	90	360	420
26	20	80	100	300	360
27	42	15	109	420	480
28	36	40	109	420	480
29	60	55	109	480	540
30	95	35	111	300	360
31	22	75	115	180	240
32	26	32	120	300	360
33	60	66	121	480	540
34	75	55	122	240	300
35	92	30	122	300	360
36	60	85	124	180	240
37	4	55	129	420	480
38	86	46	131	180	240
39	20	55	133	480	540
40	45	65	136	420	480
41	34	25	140	300	360
42	15	80	149	180	240
43	36	40	152	360	420
44	20	50	156	240	300
45	0	40	158	180	240
46	15	80	160	240	300
47	22	85	174	360	420
48	2	40	177	240	300
49	14	66	177	240	300
50	60	85	182	480	540
51	50	35	183	300	360
52	70	58	184	420	480
53	0	40	188	300	360
54	5	35	193	360	420
55	28	52	194	300	360
56	62	80	196	480	540
57	26	32	199	480	540
58	58	75	201	300	360
59	75	55	202	480	540
60	10	35	207	420	480
61	45	35	211	480	540
62	10	40	212	300	360
63	30	30	212	360	420
64	44	25	215	300	360
65	62	40	220	300	360
66	60	66	222	480	540
67	53	35	223	480	540
68	42	30	224	360	420
69	8	45	226	480	540
70	36	40	242	300	360
71	25	35	244	480	540
72	50	30	245	360	420
73	42	10	247	300	360
74	23	52	259	420	480
75	22	66	260	300	360
76	16	42	260	360	420
77	15	75	260	480	540
78	26	32	260	300	360
79	42	65	260	360	420
80	52	75	266	480	540
81	87	30	266	300	360
82	34	60	268	480	540
83	30	50	268	480	540
84	55	80	276	360	420
85	64	46	278	480	540
86	16	42	278	480	540
87	5	45	279	300	360
88	30	30	281	360	420
89	5	35	282	480	540
90	42	15	291	480	540
91	72	55	301	360	420
92	33	35	302	480	540
93	90	35	315	420	480
94	70	58	322	360	420
95	30	35	322	420	480
96	15	80	323	480	540
97	14	66	325	360	420
98	60	85	328	480	540
99	55	85	330	480	540
100	33	35	337	360	420
101	78	40	348	420	480
102	28	70	350	480	540
103	48	20	353	360	420
104	8	45	355	420	480
105	38	5	355	420	480
106	28	52	359	480	540
107	16	42	365	420	480
108	0	40	370	480	540
109	22	85	376	480	540
110	15	80	377	420	480
111	64	46	379	480	540
112	20	55	387	480	540
113	60	60	391	480	540
114	66	55	395	420	480
115	65	60	408	420	480
116	78	40	409	480	540
117	0	45	409	420	480
118	62	69	410	480	540
119	20	85	411	420	480
120	30	35	418	420	480
121	20	50	421	480	540
122	28	52	421	480	540
123	23	52	423	480	540
124	30	35	427	480	540
125	33	32	427	480	540
126	8	40	430	480	540
127	60	66	430	480	540
128	72	55	433	480	540
129	35	5	435	480	540
130	45	65	436	480	540
131	14	66	438	480	540
132	25	30	440	480	540
133	95	35	444	480	540
134	48	20	447	480	540
135	22	75	448	480	540
136	62	80	450	480	540
137	60	66	451	480	540
138	48	20	459	480	540
139	53	30	461	480	540
140	42	65	461	480	540
141	38	10	464	480	540
142	14	66	466	480	540
143	85	25	470	480	540
144	38	15	479	480	540
145	38	15	480	480	540
