Req	X_Coor	Y_Coor	Arr	E	L
0	200	200	-1	0	540
1	39	56	2	180	240
2	279	4	3	360	420
3	361	39	3	240	300
4	230	241	5	480	540
5	57	353	6	420	480
6	232	232	10	120	180
7	182	379	11	360	420
8	240	210	13	300	360
9	161	182	15	480	540
10	84	252	15	360	420
11	240	210	16	60	120
12	280	290	18	240	300
13	32	352	18	60	120
14	172	178	19	120	180
15	201	387	23	480	540
16	275	287	24	420	480
17	22	125	25	420	480
18	232	232	28	240	300
19	373	253	29	60	120
20	40	54	30	120	180
21	33	247	30	240	300
22	182	378	38	120	180
23	302	60	40	180	240
24	161	182	43	120	180
25	220	283	44	360	420
26	308	204	46	480	540
27	51	288	47	420	480
28	268	160	48	60	120
29	254	240	54	480	540
30	75	206	54	420	480
31	14	210	58	120	180
32	109	186	58	120	180
33	92	155	61	120	180
34	329	241	62	300	360
35	240	246	62	420	480
36	182	378	63	120	180
37	52	295	65	240	300
38	207	391	67	360	420
39	14	210	68	240	300
40	223	372	73	120	180
41	109	186	75	420	480
42	24	121	77	420	480
43	308	204	80	360	420
44	131	283	80	120	180
45	79	154	81	240	300
46	329	241	84	360	420
47	154	288	84	120	180
48	203	384	86	240	300
49	40	54	88	420	480
50	87	153	93	360	420
51	201	387	94	240	300
52	162	69	96	360	420
53	231	219	98	180	240
54	92	155	98	420	480
55	201	387	99	300	360
56	237	213	99	480	540
57	172	178	100	300	360
58	231	219	100	420	480
59	29	355	101	180	240
60	29	355	102	480	540
61	153	280	103	480	540
62	324	216	108	240	300
63	240	246	109	360	420
64	26	250	113	240	300
65	337	388	122	480	540
66	361	39	126	420	480
67	39	56	126	360	420
68	237	213	128	300	360
69	322	242	128	300	360
70	322	242	129	240	300
71	302	60	131	420	480
72	51	288	132	420	480
73	92	155	133	420	480
74	84	252	135	420	480
75	322	242	138	180	240
76	279	4	139	240	300
77	240	246	143	180	240
78	189	306	147	240	300
79	157	102	154	360	420
80	14	210	156	420	480
81	79	209	156	300	360
82	162	69	157	300	360
83	280	290	159	180	240
84	231	219	163	420	480
85	23	97	167	300	360
86	240	210	168	180	240
87	49	351	173	180	240
88	154	288	173	360	420
89	308	396	176	480	540
90	172	178	181	420	480
91	240	210	185	300	360
92	275	12	188	420	480
93	79	154	188	240	300
94	220	283	189	420	480
95	21	96	189	300	360
96	131	283	193	300	360
97	275	12	193	480	540
98	99	7	195	240	300
99	74	201	196	360	420
100	249	242	197	420	480
101	189	306	198	360	420
102	279	4	202	300	360
103	337	388	208	480	540
104	223	372	209	360	420
105	279	4	218	480	540
106	275	12	223	240	300
107	358	266	226	360	420
108	87	153	228	300	360
109	324	216	230	240	300
110	230	241	232	240	300
111	49	351	232	480	540
112	21	96	233	300	360
113	223	372	235	480	540
114	22	205	236	300	360
115	82	365	239	360	420
116	314	390	243	300	360
117	92	155	243	480	540
118	126	284	243	480	540
119	84	252	243	480	540
120	157	102	246	480	540
121	164	62	247	480	540
122	337	388	249	480	540
123	87	153	249	480	540
124	49	351	250	480	540
125	11	115	251	360	420
126	153	280	257	360	420
127	242	105	259	300	360
128	230	241	261	480	540
129	127	90	261	360	420
130	93	47	265	360	420
131	41	56	265	360	420
132	324	216	268	360	420
133	92	50	270	420	480
134	238	250	272	360	420
135	361	39	272	420	480
136	79	209	276	480	540
137	49	351	278	360	420
138	82	365	278	420	480
139	327	242	281	420	480
140	29	355	282	420	480
141	21	96	283	480	540
142	153	280	283	420	480
143	95	63	288	480	540
144	314	390	291	360	420
145	275	12	299	480	540
146	49	351	299	480	540
147	126	284	302	480	540
148	153	281	304	420	480
149	329	241	305	480	540
150	220	283	307	360	420
151	254	240	307	480	540
152	93	47	310	420	480
153	360	23	311	420	480
154	363	30	311	420	480
155	23	97	324	480	540
156	79	209	324	480	540
157	33	247	325	360	420
158	22	205	329	420	480
159	161	182	333	420	480
160	212	146	339	480	540
161	87	153	343	360	420
162	201	387	343	420	480
163	275	287	346	480	540
164	172	178	359	480	540
165	52	295	360	480	540
166	314	390	362	420	480
167	11	115	367	420	480
168	389	307	368	480	540
169	308	396	368	480	540
170	92	155	372	420	480
171	329	241	373	420	480
172	29	355	373	480	540
173	302	60	374	480	540
174	168	62	380	480	540
175	22	205	382	480	540
176	51	288	383	480	540
177	223	372	384	420	480
178	92	50	388	480	540
179	207	391	389	420	480
180	223	372	390	480	540
181	238	250	396	420	480
182	39	56	398	480	540
183	314	390	401	420	480
184	314	390	401	420	480
185	157	102	401	420	480
186	231	219	407	420	480
187	150	108	416	420	480
188	84	252	417	480	540
189	39	56	418	420	480
190	57	353	420	420	480
191	308	396	423	480	540
192	93	47	424	480	540
193	87	153	426	480	540
194	74	201	426	480	540
195	39	56	427	480	540
196	361	39	428	480	540
197	321	339	437	480	540
198	22	125	438	480	540
199	41	56	438	480	540
200	268	160	439	480	540
201	203	384	439	480	540
202	279	4	440	480	540
203	157	205	441	480	540
204	84	252	442	480	540
205	79	154	444	480	540
206	240	210	445	480	540
207	182	379	446	480	540
208	360	23	446	480	540
209	240	210	446	480	540
210	75	206	453	480	540
211	189	306	455	480	540
212	99	7	457	480	540
213	322	242	458	480	540
214	275	12	461	480	540
215	22	125	465	480	540
216	242	105	465	480	540
217	79	209	468	480	540
218	23	97	469	480	540
219	321	339	469	480	540
220	153	281	471	480	540
221	92	50	475	480	540
222	129	98	476	480	540
223	327	242	477	480	540
224	200	89	477	480	540
225	73	203	479	480	540
226	34	242	479	480	540
