Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	8	8	2	180	240
2	25	165	3	360	420
3	52	28	6	480	540
4	50	31	10	420	480
5	184	140	11	60	120
6	78	169	11	360	420
7	84	118	12	120	180
8	180	66	14	60	120
9	46	22	14	300	360
10	136	111	15	120	180
11	13	152	15	360	420
12	36	193	19	420	480
13	78	115	23	240	300
14	193	12	24	300	360
15	78	115	27	420	480
16	100	6	40	180	240
17	162	162	45	480	540
18	8	8	46	240	300
19	37	177	47	120	180
20	92	178	50	300	360
21	95	50	56	420	480
22	143	5	61	120	180
23	26	45	64	180	240
24	119	37	69	420	480
25	50	67	70	120	180
26	113	100	72	120	180
27	196	137	77	420	480
28	92	178	85	240	300
29	83	197	86	180	240
30	165	116	86	240	300
31	13	152	87	180	240
32	66	52	92	120	180
33	17	150	94	420	480
34	53	31	97	120	180
35	13	152	101	180	240
36	11	118	106	300	360
37	123	36	115	360	420
38	127	60	119	120	180
39	100	53	128	360	420
40	143	5	130	360	420
41	36	193	139	360	420
42	16	84	143	300	360
43	46	22	151	300	360
44	56	90	151	180	240
45	129	40	156	420	480
46	13	152	162	240	300
47	125	49	165	420	480
48	135	0	166	360	420
49	11	118	183	480	540
50	56	90	184	300	360
51	136	111	188	240	300
52	135	171	195	360	420
53	75	173	196	300	360
54	189	83	201	360	420
55	3	75	206	240	300
56	184	140	210	420	480
57	8	74	212	360	420
58	3	75	217	240	300
59	105	26	220	300	360
60	67	138	222	300	360
61	145	19	231	240	300
62	105	70	241	420	480
63	10	153	257	420	480
64	159	196	258	480	540
65	87	196	258	360	420
66	95	50	261	480	540
67	162	162	263	300	360
68	52	38	267	360	420
69	50	31	269	420	480
70	18	35	271	300	360
71	50	31	278	480	540
72	145	19	280	360	420
73	42	174	282	420	480
74	78	115	282	300	360
75	83	197	285	300	360
76	104	176	286	360	420
77	71	131	289	360	420
78	46	131	290	480	540
79	187	142	293	480	540
80	158	132	298	420	480
81	95	50	300	480	540
82	3	75	306	360	420
83	141	4	308	480	540
84	196	137	312	480	540
85	46	131	319	480	540
86	185	123	323	420	480
87	136	111	323	480	540
88	83	197	332	360	420
89	42	174	335	360	420
90	183	170	348	360	420
91	98	193	349	480	540
92	95	50	350	360	420
93	143	5	352	480	540
94	30	142	354	420	480
95	121	50	356	360	420
96	187	142	356	480	540
97	135	0	359	360	420
98	87	191	366	420	480
99	103	67	367	420	480
100	141	4	369	480	540
101	78	115	372	420	480
102	17	150	380	480	540
103	66	52	381	480	540
104	11	118	382	480	540
105	143	5	387	480	540
106	92	178	397	480	540
107	28	160	399	480	540
108	180	66	399	480	540
109	103	67	400	420	480
110	50	67	402	420	480
111	185	124	405	420	480
112	8	74	409	420	480
113	125	49	409	420	480
114	13	81	410	420	480
115	193	12	413	480	540
116	162	162	415	480	540
117	85	110	416	420	480
118	85	110	422	480	540
119	113	100	423	480	540
120	92	178	426	480	540
121	8	74	429	480	540
122	26	45	430	480	540
123	89	176	440	480	540
124	60	58	446	480	540
125	158	81	446	480	540
126	193	12	446	480	540
127	53	61	448	480	540
128	75	173	451	480	540
129	52	28	455	480	540
130	81	183	458	480	540
131	52	38	459	480	540
132	149	78	464	480	540
133	36	193	468	480	540
134	185	123	471	480	540
135	81	183	477	480	540
