Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	129	176	3	420	480
2	164	37	10	240	300
3	95	50	14	360	420
4	35	160	18	180	240
5	80	190	19	120	180
6	172	114	22	240	300
7	104	5	23	420	480
8	80	190	29	60	120
9	111	129	31	60	120
10	103	70	38	120	180
11	78	119	48	240	300
12	97	129	51	480	540
13	158	81	58	480	540
14	162	118	58	480	540
15	20	59	61	480	540
16	28	193	66	180	240
17	74	55	67	180	240
18	184	140	70	180	240
19	12	69	74	420	480
20	73	81	76	120	180
21	193	111	85	240	300
22	185	123	87	120	180
23	63	192	88	240	300
24	162	118	92	300	360
25	28	193	93	480	540
26	78	169	96	120	180
27	57	157	96	360	420
28	59	57	98	120	180
29	41	43	104	480	540
30	67	138	106	360	420
31	53	29	107	360	420
32	68	115	107	420	480
33	97	67	117	180	240
34	127	143	122	300	360
35	103	70	124	420	480
36	187	112	126	180	240
37	179	141	130	180	240
38	179	141	131	360	420
39	66	58	135	420	480
40	107	96	137	360	420
41	185	124	138	480	540
42	159	105	139	420	480
43	74	55	141	360	420
44	59	139	155	420	480
45	68	50	157	420	480
46	104	5	161	300	360
47	73	81	161	240	300
48	162	118	161	180	240
49	80	190	162	420	480
50	7	151	162	180	240
51	28	193	162	420	480
52	111	129	164	300	360
53	187	92	171	420	480
54	125	49	172	300	360
55	187	92	175	480	540
56	63	192	181	240	300
57	122	58	188	480	540
58	89	39	190	240	300
59	85	192	200	240	300
60	68	50	204	420	480
61	13	152	204	240	300
62	140	3	208	420	480
63	78	119	213	240	300
64	172	114	225	480	540
65	48	106	229	300	360
66	154	7	230	480	540
67	127	143	232	240	300
68	68	115	234	300	360
69	80	190	242	360	420
70	8	89	258	480	540
71	179	151	258	480	540
72	35	160	259	420	480
73	12	131	263	300	360
74	78	119	265	300	360
75	138	69	267	360	420
76	26	138	273	480	540
77	168	119	274	480	540
78	13	152	278	480	540
79	57	157	279	480	540
80	57	157	285	420	480
81	137	4	289	360	420
82	162	118	291	420	480
83	188	125	296	480	540
84	7	151	298	360	420
85	5	162	301	420	480
86	168	119	306	480	540
87	57	157	311	480	540
88	158	81	314	420	480
89	85	192	317	360	420
90	15	87	317	360	420
91	79	193	318	360	420
92	18	35	319	480	540
93	68	115	325	480	540
94	122	58	329	480	540
95	185	123	330	360	420
96	104	5	331	480	540
97	80	190	332	480	540
98	41	43	341	480	540
99	79	115	344	480	540
100	187	112	347	420	480
101	107	96	350	420	480
102	66	58	353	420	480
103	98	4	354	480	540
104	68	50	360	480	540
105	55	64	362	480	540
106	180	147	370	480	540
107	80	108	372	420	480
108	193	12	375	480	540
109	59	139	377	420	480
110	20	59	381	480	540
111	75	173	388	420	480
112	78	169	393	420	480
113	140	11	397	480	540
114	103	70	400	420	480
115	67	127	402	480	540
116	110	184	403	480	540
117	137	4	404	480	540
118	5	162	407	480	540
119	190	110	410	420	480
120	26	45	412	420	480
121	149	78	418	480	540
122	80	190	420	420	480
123	18	35	429	480	540
124	179	141	433	480	540
125	22	61	437	480	540
126	168	119	441	480	540
127	193	111	445	480	540
128	68	50	450	480	540
129	124	191	453	480	540
130	40	130	462	480	540
131	197	113	476	480	540
132	80	167	476	480	540
133	179	151	479	480	540
