Req	X_Coor	Y_Coor	Arr	E	L
0	35	35	-1	0	540
1	13	52	0	120	180
2	25	21	9	240	300
3	30	60	14	480	540
4	15	30	15	420	480
5	15	10	18	180	240
6	5	30	22	360	420
7	8	56	23	60	120
8	30	5	26	180	240
9	6	38	27	420	480
10	22	27	29	240	300
11	62	77	30	480	540
12	24	12	35	120	180
13	53	52	36	420	480
14	11	31	38	60	120
15	45	20	42	240	300
16	53	43	49	480	540
17	26	52	63	240	300
18	18	18	64	120	180
19	56	37	66	360	420
20	65	55	73	420	480
21	4	18	77	480	540
22	67	5	81	240	300
23	5	5	83	240	300
24	65	20	84	360	420
25	65	20	85	360	420
26	22	22	86	120	180
27	17	34	87	240	300
28	30	5	87	300	360
29	55	20	94	120	180
30	15	60	94	360	420
31	15	19	97	360	420
32	28	18	98	120	180
33	21	24	99	300	360
34	47	47	102	180	240
35	49	42	106	420	480
36	10	20	107	180	240
37	31	67	108	480	540
38	15	30	109	480	540
39	22	27	111	180	240
40	10	20	111	180	240
41	40	60	112	420	480
42	55	54	114	480	540
43	49	11	117	420	480
44	62	77	120	240	300
45	30	5	120	300	360
46	24	58	123	480	540
47	2	48	123	300	360
48	30	25	130	180	240
49	30	25	134	360	420
50	49	11	137	420	480
51	49	42	139	360	420
52	6	38	139	360	420
53	47	16	148	420	480
54	6	38	149	420	480
55	11	14	149	360	420
56	28	18	156	180	240
57	25	30	157	360	420
58	20	26	160	240	300
59	5	5	169	480	540
60	10	20	175	480	540
61	47	47	177	240	300
62	36	26	179	420	480
63	57	48	180	480	540
64	35	40	181	300	360
65	47	16	183	300	360
66	15	77	184	300	360
67	11	31	184	300	360
68	65	20	185	300	360
69	11	31	186	300	360
70	6	38	187	360	420
71	15	19	198	420	480
72	27	43	199	420	480
73	62	77	204	480	540
74	35	69	207	360	420
75	53	43	208	300	360
76	67	5	213	480	540
77	10	43	220	240	300
78	6	68	223	480	540
79	50	35	223	360	420
80	45	30	224	360	420
81	30	25	226	420	480
82	32	12	227	300	360
83	30	25	230	300	360
84	22	27	231	240	300
85	49	73	231	480	540
86	30	25	232	240	300
87	4	18	233	480	540
88	37	47	234	480	540
89	41	49	235	240	300
90	20	65	240	240	300
91	67	5	242	360	420
92	57	29	246	420	480
93	18	18	248	420	480
94	45	10	249	300	360
95	13	52	249	420	480
96	45	65	251	360	420
97	5	5	252	300	360
98	37	31	257	480	540
99	35	40	259	420	480
100	55	20	265	420	480
101	65	20	275	360	420
102	5	30	276	300	360
103	25	21	278	420	480
104	56	37	279	300	360
105	25	30	281	420	480
106	18	24	282	420	480
107	40	60	284	420	480
108	55	54	286	300	360
109	41	49	289	420	480
110	6	38	290	360	420
111	24	58	300	480	540
112	11	14	300	480	540
113	53	43	300	360	420
114	55	60	301	360	420
115	26	35	303	480	540
116	63	65	306	480	540
117	57	68	307	360	420
118	45	30	309	360	420
119	57	48	310	420	480
120	2	60	311	360	420
121	32	12	316	480	540
122	2	60	317	360	420
123	5	5	319	420	480
124	56	37	320	360	420
125	6	38	321	480	540
126	26	27	322	420	480
127	20	50	323	480	540
128	2	60	325	420	480
129	19	21	326	480	540
130	37	47	331	360	420
131	15	77	332	480	540
132	40	25	332	480	540
133	8	56	334	360	420
134	37	56	337	420	480
135	32	12	338	420	480
136	57	48	342	480	540
137	37	47	343	480	540
138	63	65	343	420	480
139	26	27	351	480	540
140	36	26	355	480	540
141	37	31	364	420	480
142	65	20	373	420	480
143	49	58	377	420	480
144	31	67	379	480	540
145	8	56	384	480	540
146	15	47	384	420	480
147	46	13	395	420	480
148	57	29	399	420	480
149	55	60	408	480	540
150	55	20	408	420	480
151	20	40	408	480	540
152	67	5	409	480	540
153	20	26	410	420	480
154	46	13	411	480	540
155	49	11	411	480	540
156	15	60	415	480	540
157	4	18	415	480	540
158	22	22	417	480	540
159	55	5	418	480	540
160	18	18	419	480	540
161	35	17	423	480	540
162	26	35	427	480	540
163	50	35	428	480	540
164	65	55	433	480	540
165	56	39	436	480	540
166	32	12	442	480	540
167	26	35	444	480	540
168	15	77	448	480	540
169	31	67	449	480	540
170	35	69	453	480	540
171	53	43	456	480	540
172	20	40	457	480	540
173	5	5	458	480	540
174	61	52	459	480	540
175	49	58	459	480	540
176	60	12	466	480	540
177	41	37	469	480	540
178	47	47	471	480	540
179	37	47	476	480	540
180	30	60	476	480	540
181	40	60	476	480	540
182	26	35	479	480	540
