Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	184	101	12	240	300
2	108	148	14	240	300
3	30	67	17	420	480
4	110	8	22	420	480
5	103	77	23	480	540
6	60	153	23	420	480
7	188	194	31	420	480
8	99	45	31	60	120
9	67	70	32	360	420
10	159	196	38	180	240
11	67	70	38	60	120
12	188	194	39	60	120
13	172	161	42	480	540
14	105	26	45	120	180
15	127	39	46	480	540
16	31	63	48	240	300
17	103	77	48	480	540
18	152	190	50	300	360
19	168	146	53	120	180
20	18	35	57	360	420
21	97	129	59	480	540
22	85	85	62	120	180
23	46	22	63	420	480
24	127	39	66	120	180
25	32	166	66	180	240
26	134	157	66	300	360
27	28	127	68	300	360
28	186	8	72	240	300
29	126	100	76	120	180
30	63	44	85	360	420
31	184	101	86	360	420
32	152	122	87	240	300
33	60	153	89	420	480
34	158	20	92	420	480
35	124	165	93	180	240
36	60	153	95	360	420
37	109	197	97	480	540
38	39	186	97	480	540
39	126	100	99	180	240
40	31	63	100	240	300
41	38	183	102	360	420
42	134	157	105	480	540
43	47	118	105	360	420
44	47	118	106	420	480
45	57	157	121	180	240
46	103	77	123	480	540
47	71	114	127	240	300
48	23	176	127	480	540
49	103	77	129	480	540
50	186	8	131	480	540
51	23	176	132	420	480
52	59	139	138	240	300
53	113	158	144	480	540
54	143	103	145	420	480
55	198	16	146	420	480
56	124	165	150	480	540
57	63	44	151	240	300
58	172	161	153	180	240
59	60	153	155	360	420
60	45	95	156	360	420
61	59	24	158	240	300
62	63	44	161	180	240
63	172	186	161	240	300
64	60	153	161	360	420
65	88	143	164	240	300
66	88	152	170	420	480
67	134	157	173	480	540
68	126	100	173	300	360
69	155	107	182	420	480
70	45	95	183	480	540
71	17	166	187	360	420
72	59	139	188	420	480
73	59	139	190	240	300
74	59	139	190	480	540
75	84	180	199	420	480
76	126	100	200	360	420
77	46	22	202	480	540
78	184	101	203	300	360
79	112	78	210	420	480
80	31	63	212	360	420
81	75	134	213	480	540
82	134	157	214	300	360
83	67	70	221	480	540
84	12	113	228	240	300
85	7	119	230	300	360
86	125	49	232	360	420
87	42	174	234	480	540
88	151	180	234	300	360
89	18	35	234	240	300
90	39	186	236	360	420
91	139	97	239	300	360
92	121	50	241	480	540
93	157	142	241	420	480
94	88	152	244	480	540
95	67	70	245	480	540
96	129	176	249	300	360
97	30	67	253	480	540
98	179	95	262	420	480
99	134	157	263	360	420
100	172	186	264	420	480
101	89	176	270	480	540
102	116	4	274	300	360
103	88	152	278	480	540
104	42	148	286	420	480
105	39	186	287	300	360
106	88	152	289	420	480
107	113	100	289	420	480
108	7	119	290	480	540
109	17	32	292	300	360
110	129	176	296	480	540
111	188	194	298	420	480
112	35	9	299	360	420
113	105	26	299	480	540
114	155	107	299	300	360
115	186	8	302	480	540
116	127	39	302	480	540
117	88	143	303	480	540
118	172	179	304	480	540
119	188	194	306	420	480
120	152	190	306	360	420
121	60	153	309	360	420
122	39	186	311	480	540
123	186	8	314	420	480
124	112	6	315	420	480
125	130	149	322	420	480
126	36	104	324	480	540
127	200	162	326	480	540
128	146	166	330	420	480
129	179	95	332	420	480
130	94	119	334	420	480
131	42	174	335	360	420
132	38	183	344	420	480
133	9	122	349	420	480
134	46	22	355	420	480
135	28	127	357	360	420
136	71	114	362	420	480
137	39	186	365	480	540
138	12	131	366	480	540
139	157	142	368	480	540
140	188	194	371	420	480
141	172	161	373	480	540
142	17	166	375	480	540
143	125	49	375	480	540
144	42	148	377	420	480
145	162	162	383	420	480
146	42	148	385	480	540
147	56	148	387	420	480
148	125	49	389	480	540
149	156	93	399	420	480
150	162	162	400	420	480
151	105	26	400	480	540
152	159	105	401	420	480
153	75	134	405	480	540
154	108	148	405	420	480
155	94	119	408	420	480
156	165	156	412	480	540
157	85	164	416	480	540
158	110	8	434	480	540
159	45	55	434	480	540
160	109	197	435	480	540
161	8	89	436	480	540
162	71	114	439	480	540
163	60	184	441	480	540
164	103	97	442	480	540
165	108	141	443	480	540
166	28	127	446	480	540
167	172	161	448	480	540
168	40	130	449	480	540
169	129	176	452	480	540
170	30	67	453	480	540
171	155	22	453	480	540
172	155	22	454	480	540
173	152	122	458	480	540
174	38	183	459	480	540
175	157	142	460	480	540
176	17	32	468	480	540
177	124	191	469	480	540
178	154	7	470	480	540
179	126	100	470	480	540
180	159	196	471	480	540
181	7	119	473	480	540
182	75	134	479	480	540
183	103	97	479	480	540
