Req	X_Coor	Y_Coor	Arr	E	L
0	200	200	-1	0	540
1	223	372	7	58	118
2	75	206	13	385	445
3	279	4	14	107	167
4	314	390	15	376	436
5	129	98	22	104	164
6	52	295	30	439	499
7	153	281	36	207	267
8	363	30	43	478	538
9	87	153	47	305	365
10	358	266	60	464	524
11	57	353	76	436	496
12	93	47	79	296	356
13	92	155	79	124	184
14	92	155	79	236	296
15	207	391	80	198	258
16	249	242	91	252	312
17	314	390	91	418	478
18	93	47	93	93	153
19	52	295	100	392	452
20	168	62	101	212	272
21	32	352	103	318	378
22	100	6	106	150	210
23	329	241	107	171	231
24	93	47	108	170	230
25	22	125	109	126	186
26	168	62	112	122	182
27	131	283	119	176	236
28	223	372	119	342	402
29	240	246	122	463	523
30	361	39	125	181	241
31	93	47	135	310	370
32	153	107	137	334	394
33	232	232	143	440	500
34	314	390	145	364	424
35	254	240	150	371	431
36	131	283	156	404	464
37	201	387	159	280	340
38	212	146	160	357	417
39	93	47	161	174	234
40	84	252	164	300	360
41	164	62	165	334	394
42	369	19	166	406	466
43	240	210	179	194	254
44	21	96	182	288	348
45	14	210	188	324	384
46	75	206	194	301	361
47	153	281	195	463	523
48	210	141	201	351	411
49	302	60	203	421	481
50	168	62	214	480	540
51	324	216	220	391	451
52	41	56	221	429	489
53	73	203	224	237	297
54	182	379	229	259	319
55	153	281	232	393	453
56	244	114	233	321	381
57	153	107	234	384	444
58	389	307	244	402	462
59	230	241	253	371	431
60	75	206	256	298	358
61	244	114	260	350	410
62	275	12	261	352	412
63	95	63	268	355	415
64	348	279	276	444	504
65	52	295	283	431	491
66	321	339	286	452	512
67	223	372	289	375	435
68	89	29	293	401	461
69	82	365	300	336	396
70	212	146	308	313	373
71	161	182	321	453	513
72	212	146	332	366	426
73	189	306	333	440	500
74	168	62	340	469	529
75	231	219	341	435	495
76	275	287	361	477	537
77	79	154	368	423	483
78	231	219	369	453	513
79	79	209	370	423	483
80	210	141	374	398	458
81	389	307	375	387	447
82	92	50	376	404	464
83	153	107	376	386	446
84	314	390	378	459	519
85	49	351	382	448	508
86	162	69	385	443	503
87	210	141	390	469	529
88	153	280	391	430	490
89	249	242	394	461	521
90	26	250	404	407	467
91	157	102	415	428	488
92	182	378	439	468	528
93	232	232	442	456	516
94	93	47	445	462	522
95	275	12	458	471	531
96	157	102	461	480	540
97	223	372	469	473	533
98	327	242	472	479	539
99	92	155	478	480	540
100	32	352	479	480	540
