Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	120	70	1	404	464
2	143	140	1	339	399
3	43	98	2	316	376
4	26	169	23	230	290
5	64	172	35	151	211
6	29	88	43	408	468
7	100	47	49	309	369
8	60	197	62	423	483
9	65	182	63	244	304
10	143	30	68	113	173
11	130	47	78	168	228
12	65	182	83	170	230
13	136	57	87	201	261
14	91	43	102	393	453
15	138	132	104	122	182
16	138	132	138	284	344
17	3	56	146	468	528
18	92	39	152	451	511
19	91	49	156	358	418
20	175	70	166	306	366
21	164	124	184	233	293
22	84	10	200	294	354
23	84	133	211	232	292
24	106	127	227	314	374
25	130	47	234	341	401
26	33	188	235	341	401
27	82	100	240	394	454
28	82	100	242	294	354
29	127	46	267	322	382
30	143	140	281	469	529
31	16	146	282	424	484
32	175	70	304	419	479
33	145	144	326	357	417
34	91	43	340	462	522
35	164	124	341	359	419
36	143	140	343	409	469
37	93	1	358	407	467
38	107	73	360	368	428
39	40	87	365	477	537
40	33	73	369	423	483
41	26	169	388	412	472
42	139	102	405	414	474
43	138	132	431	475	535
44	175	70	432	442	502
45	56	192	442	467	527
46	16	146	451	480	540
47	31	63	478	480	540
