Req	X_Coor	Y_Coor	Arr	E	L
0	200	200	-1	0	540
1	325	45	7	120	180
2	125	122	12	204	264
3	82	360	12	405	465
4	237	243	12	404	464
5	113	184	14	399	459
6	304	141	14	257	317
7	359	30	17	475	535
8	390	357	17	456	516
9	24	96	20	202	262
10	364	55	20	59	119
11	221	281	26	56	116
12	366	340	26	224	284
13	84	363	28	388	448
14	393	307	28	196	256
15	102	377	29	292	352
16	41	340	31	376	436
17	353	65	32	390	450
18	393	312	34	256	316
19	125	122	34	138	198
20	338	391	44	286	346
21	370	104	46	246	306
22	262	30	47	355	415
23	369	100	49	319	379
24	176	154	50	162	222
25	391	42	51	337	397
26	300	144	57	236	296
27	70	231	60	133	193
28	364	55	61	97	157
29	370	104	61	122	182
30	60	319	63	365	425
31	393	306	63	115	175
32	325	294	65	128	188
33	18	100	71	250	310
34	195	294	72	414	474
35	237	109	73	76	136
36	23	97	73	287	347
37	239	254	78	423	483
38	381	290	79	468	528
39	369	100	82	446	506
40	393	307	84	466	526
41	364	25	86	333	393
42	364	25	88	126	186
43	189	306	89	177	237
44	40	380	89	381	441
45	366	340	89	431	491
46	40	380	94	406	466
47	393	297	95	96	156
48	166	357	96	204	264
49	128	68	99	311	371
50	325	294	103	372	432
51	393	297	106	379	439
52	67	258	107	239	299
53	373	253	108	286	346
54	373	253	108	432	492
55	32	78	110	390	450
56	67	258	111	431	491
57	366	340	114	389	449
58	364	55	115	302	362
59	153	315	116	265	325
60	350	131	122	424	484
61	82	365	126	426	486
62	176	154	137	380	440
63	113	184	139	437	497
64	128	68	145	200	260
65	393	312	146	322	382
66	24	96	146	188	248
67	18	100	149	264	324
68	77	319	152	321	381
69	23	98	157	297	357
70	134	63	157	461	521
71	122	183	163	192	252
72	237	109	163	173	233
73	270	151	164	375	435
74	34	242	165	284	344
75	390	357	168	250	310
76	128	68	170	342	402
77	220	238	171	480	540
78	113	184	171	299	359
79	353	65	177	275	335
80	237	243	181	350	410
81	270	151	185	237	297
82	302	274	186	359	419
83	349	272	191	425	485
84	208	274	192	474	534
85	329	236	192	322	382
86	300	144	195	442	502
87	270	151	196	218	278
88	366	97	197	385	445
89	68	143	199	330	390
90	381	290	199	417	477
91	359	30	206	441	501
92	237	243	209	263	323
93	395	340	211	301	361
94	47	328	211	462	522
95	349	272	211	382	442
96	102	118	212	357	417
97	237	243	216	352	412
98	77	319	216	408	468
99	325	45	221	417	477
100	369	100	225	234	294
101	364	25	226	395	455
102	41	340	227	473	533
103	364	25	231	273	333
104	82	365	234	421	481
105	239	254	234	404	464
106	276	157	235	300	360
107	364	25	239	359	419
108	359	30	240	414	474
109	221	281	244	346	406
110	392	307	247	398	458
111	369	107	252	342	402
112	369	107	257	408	468
113	189	306	258	417	477
114	192	332	262	262	322
115	41	340	264	423	483
116	366	251	265	469	529
117	70	231	266	414	474
118	391	42	267	310	370
119	381	290	269	391	451
120	373	253	271	278	338
121	60	319	272	274	334
122	153	315	280	350	410
123	220	238	280	478	538
124	366	251	284	343	403
125	40	380	286	477	537
126	221	281	286	389	449
127	67	258	286	420	480
128	321	217	287	351	411
129	82	360	289	295	355
130	47	328	290	312	372
131	166	357	293	434	494
132	41	340	296	374	434
133	221	281	300	431	491
134	183	375	302	385	445
135	340	290	319	395	455
136	366	340	319	448	508
137	84	363	320	437	497
138	392	307	324	418	478
139	32	78	324	398	458
140	395	340	325	361	421
141	192	332	329	471	531
142	347	395	331	364	424
143	302	274	332	371	431
144	310	363	335	467	527
145	300	144	338	345	405
146	243	140	338	472	532
147	208	274	339	340	400
148	186	75	340	348	408
149	276	157	344	433	493
150	82	365	350	437	497
151	262	30	350	412	472
152	26	250	351	410	470
153	353	65	355	397	457
154	325	294	355	418	478
155	302	274	357	408	468
156	329	236	357	357	417
157	315	237	360	478	538
158	329	236	370	375	435
159	381	290	370	438	498
160	175	299	371	478	538
161	325	294	375	417	477
162	140	40	381	471	531
163	176	154	381	407	467
164	349	272	386	457	517
165	270	151	389	477	537
166	393	306	389	391	451
167	373	253	391	474	534
168	128	68	391	463	523
169	364	25	396	414	474
170	325	294	396	471	531
171	41	340	397	408	468
172	359	30	399	427	487
173	364	27	408	459	519
174	175	299	410	451	511
175	393	297	413	468	528
176	186	75	415	455	515
177	175	299	416	448	508
178	201	6	418	418	478
179	159	11	419	464	524
180	276	157	429	448	508
181	220	238	444	457	517
182	159	11	445	465	525
183	128	68	445	479	539
184	166	357	448	472	532
185	364	27	451	479	539
186	34	242	456	469	529
187	349	157	457	459	519
188	359	30	457	465	525
189	226	52	462	470	530
190	189	306	464	468	528
191	183	375	466	476	536
192	302	274	468	478	538
193	176	154	468	478	538
194	34	242	468	471	531
195	68	143	469	474	534
196	347	395	470	479	539
197	26	250	477	478	538
198	315	237	479	480	540
