Req	X_Coor	Y_Coor	Arr	E	L
0	150	150	-1	0	540
1	37	126	1	3	63
2	67	154	5	296	356
3	112	43	5	456	516
4	145	184	6	282	342
5	29	8	11	162	222
6	145	184	15	281	341
7	217	69	18	279	339
8	255	132	20	145	205
9	70	57	28	430	490
10	253	84	31	258	318
11	255	57	38	313	373
12	238	103	40	66	126
13	152	241	42	294	354
14	213	68	45	427	487
15	227	26	45	267	327
16	134	148	49	370	430
17	145	184	49	107	167
18	56	212	56	238	298
19	277	100	80	118	178
20	236	240	82	88	148
21	112	43	106	351	411
22	55	68	109	241	301
23	168	176	115	263	323
24	206	157	115	474	534
25	8	4	121	227	287
26	296	235	134	463	523
27	159	110	134	289	349
28	223	74	139	394	454
29	205	130	156	298	358
30	145	184	156	161	221
31	119	254	157	244	304
32	67	154	162	270	330
33	252	219	168	477	537
34	54	285	181	208	268
35	176	235	182	242	302
36	250	130	182	207	267
37	233	245	188	276	336
38	134	146	195	227	287
39	217	69	198	322	382
40	170	53	211	321	381
41	289	130	218	338	398
42	64	91	227	467	527
43	131	220	227	405	465
44	168	176	228	389	449
45	278	177	231	328	388
46	168	176	232	328	388
47	14	177	233	328	388
48	8	4	242	415	475
49	235	242	242	304	364
50	9	144	250	446	506
51	227	26	251	306	366
52	160	108	254	400	460
53	289	130	256	445	505
54	255	57	259	264	324
55	163	150	264	348	408
56	155	180	287	374	434
57	223	74	294	413	473
58	239	295	303	380	440
59	191	49	303	444	504
60	191	49	304	417	477
61	67	154	305	391	451
62	239	295	305	319	379
63	8	4	315	358	418
64	105	81	321	358	418
65	132	297	323	427	487
66	241	71	324	411	471
67	159	300	328	421	481
68	241	71	332	403	463
69	289	130	333	439	499
70	263	291	334	438	498
71	9	144	340	364	424
72	212	270	344	391	451
73	252	219	350	395	455
74	241	71	355	368	428
75	250	130	359	396	456
76	160	108	361	433	493
77	203	183	365	450	510
78	296	235	383	459	519
79	1	272	397	437	497
80	161	112	397	418	478
81	56	212	403	432	492
82	217	73	415	432	492
83	170	53	415	421	481
84	8	265	422	462	522
85	170	53	426	431	491
86	217	73	428	461	521
87	29	8	434	445	505
88	239	295	449	463	523
89	252	219	457	465	525
90	64	91	457	472	532
91	264	61	460	463	523
92	227	26	471	476	536
93	248	280	472	472	532
94	278	177	475	478	538
95	227	26	475	477	537
96	136	104	479	479	539
