Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	143	116	10	219	279
2	60	153	18	252	312
3	186	149	21	301	361
4	168	58	22	195	255
5	175	60	23	385	445
6	137	59	24	229	289
7	184	140	27	137	197
8	28	127	35	336	396
9	56	148	39	434	494
10	191	138	41	113	173
11	6	193	44	91	151
12	60	71	55	181	241
13	53	180	57	246	306
14	66	3	67	216	276
15	114	72	68	424	484
16	125	53	79	309	369
17	152	122	80	121	181
18	171	36	81	180	240
19	35	9	89	310	370
20	155	107	90	439	499
21	60	153	92	448	508
22	32	47	98	476	536
23	149	78	99	136	196
24	104	88	99	424	484
25	155	107	103	313	373
26	191	124	103	178	238
27	84	81	106	364	424
28	24	197	110	304	364
29	121	46	112	255	315
30	103	77	113	267	327
31	75	170	118	195	255
32	145	71	119	185	245
33	120	39	127	233	293
34	112	42	134	437	497
35	150	26	136	420	480
36	24	197	136	155	215
37	191	138	140	342	402
38	145	71	141	325	385
39	24	197	144	173	233
40	151	180	148	445	505
41	85	193	148	226	286
42	63	151	149	297	357
43	191	138	150	196	256
44	49	99	151	440	500
45	54	37	153	462	522
46	188	70	155	471	531
47	135	45	159	326	386
48	94	31	169	416	476
49	191	138	170	410	470
50	137	59	172	448	508
51	182	89	176	440	500
52	137	59	185	383	443
53	175	60	187	422	482
54	24	197	190	449	509
55	150	26	194	212	272
56	173	42	201	225	285
57	6	193	202	352	412
58	115	50	204	440	500
59	145	71	209	297	357
60	135	45	210	258	318
61	41	186	211	408	468
62	150	26	213	304	364
63	113	151	214	376	436
64	152	122	214	398	458
65	54	37	232	389	449
66	77	119	235	285	345
67	124	191	238	278	338
68	168	58	242	413	473
69	75	173	242	284	344
70	71	114	245	372	432
71	176	134	251	375	435
72	63	151	251	409	469
73	30	183	256	403	463
74	36	104	259	447	507
75	138	61	261	343	403
76	24	197	264	308	368
77	151	180	269	316	376
78	53	175	272	336	396
79	48	106	272	380	440
80	115	50	301	471	531
81	171	36	317	447	507
82	85	193	318	401	461
83	124	191	319	408	468
84	182	89	319	465	525
85	176	134	323	369	429
86	71	114	325	386	446
87	67	70	326	346	406
88	75	170	327	357	417
89	124	191	329	443	503
90	86	69	331	354	414
91	138	61	332	334	394
92	31	79	336	339	399
93	178	61	337	344	404
94	27	97	340	370	430
95	50	135	340	369	429
96	53	175	342	396	456
97	38	101	345	368	428
98	81	183	350	441	501
99	60	71	352	390	450
100	50	135	355	440	500
101	151	132	358	419	479
102	35	9	363	389	449
103	63	151	365	456	516
104	67	70	366	399	459
105	127	143	371	459	519
106	175	60	373	475	535
107	28	127	374	458	518
108	145	71	375	436	496
109	158	20	380	409	469
110	53	175	380	418	478
111	70	28	382	470	530
112	53	175	385	430	490
113	63	149	386	468	528
114	151	180	388	411	471
115	125	78	388	393	453
116	180	66	389	478	538
117	95	50	394	480	540
118	188	70	396	409	469
119	71	114	404	438	498
120	75	170	406	477	537
121	188	70	414	426	486
122	137	59	416	446	506
123	164	37	420	447	507
124	188	70	428	435	495
125	125	78	437	445	505
126	121	50	438	467	527
127	186	8	439	451	511
128	67	70	441	444	504
129	37	177	443	469	529
130	53	79	448	478	538
131	180	66	449	456	516
132	7	119	453	464	524
133	41	186	464	468	528
134	135	45	471	475	535
135	123	90	471	478	538
136	13	139	473	477	537
137	172	161	473	475	535
138	178	61	477	478	538
139	137	158	479	480	540
