Req	X_Coor	Y_Coor	Arr	E	L
0	100	100	-1	0	540
1	94	119	1	327	387
2	71	114	9	448	508
3	151	180	9	473	533
4	42	148	16	180	240
5	23	176	31	428	488
6	129	176	31	161	221
7	45	55	32	234	294
8	198	16	33	194	254
9	180	66	34	34	94
10	156	93	36	209	269
11	159	105	42	468	528
12	60	153	44	309	369
13	108	141	53	187	247
14	130	149	57	364	424
15	46	22	58	343	403
16	108	148	60	288	348
17	113	158	67	351	411
18	71	114	67	266	326
19	155	22	69	469	529
20	28	127	73	167	227
21	180	66	75	147	207
22	109	197	77	272	332
23	105	26	83	136	196
24	88	152	83	351	411
25	157	142	84	241	301
26	108	141	84	190	250
27	99	45	88	201	261
28	17	32	89	114	174
29	155	17	95	146	206
30	56	148	98	185	245
31	5	122	105	278	338
32	105	26	106	312	372
33	103	77	107	230	290
34	108	148	108	441	501
35	143	103	119	147	207
36	156	93	122	402	462
37	103	97	131	326	386
38	149	78	131	263	323
39	17	166	136	228	288
40	152	122	149	368	428
41	99	45	150	434	494
42	99	45	157	324	384
43	116	4	158	382	442
44	149	103	161	368	428
45	17	32	163	324	384
46	130	149	164	219	279
47	179	95	166	448	508
48	8	89	170	207	267
49	200	162	179	323	383
50	180	66	181	453	513
51	66	3	186	363	423
52	28	127	187	210	270
53	113	158	189	402	462
54	152	122	200	457	517
55	47	118	202	395	455
56	113	158	202	427	487
57	57	157	203	373	433
58	46	22	204	335	395
59	172	186	208	331	391
60	63	44	210	235	295
61	103	97	215	424	484
62	112	6	220	230	290
63	158	20	222	345	405
64	172	186	228	415	475
65	71	114	228	381	441
66	31	63	234	430	490
67	40	130	235	418	478
68	184	101	236	392	452
69	151	180	242	473	533
70	116	4	242	408	468
71	103	77	242	410	470
72	85	164	247	432	492
73	188	194	255	464	524
74	110	8	259	466	526
75	17	166	276	326	386
76	113	158	276	351	411
77	172	179	285	363	423
78	28	127	294	441	501
79	31	63	296	452	512
80	60	153	297	320	380
81	103	97	297	451	511
82	152	190	300	435	495
83	156	93	301	303	363
84	124	191	306	384	444
85	32	166	308	334	394
86	60	184	310	435	495
87	30	67	315	428	488
88	36	104	319	406	466
89	155	22	324	453	513
90	112	6	325	430	490
91	111	129	328	441	501
92	88	143	332	438	498
93	159	105	340	428	488
94	130	149	342	474	534
95	149	78	343	414	474
96	5	122	344	459	519
97	188	194	345	433	493
98	155	22	348	373	433
99	30	67	349	417	477
100	151	180	355	458	518
101	105	26	368	380	440
102	45	55	371	470	530
103	12	113	373	424	484
104	152	122	386	406	466
105	67	70	387	394	454
106	88	143	388	393	453
107	124	165	390	390	450
108	56	148	401	410	470
109	103	25	403	445	505
110	110	8	404	472	532
111	121	50	413	443	503
112	45	95	414	463	523
113	124	165	416	430	490
114	88	152	416	472	532
115	134	157	422	426	486
116	156	93	424	472	532
117	60	184	425	467	527
118	89	176	428	468	528
119	47	118	428	478	538
120	155	22	432	480	540
121	47	118	434	461	521
122	39	186	444	469	529
123	31	63	453	478	538
124	75	134	456	457	517
125	45	95	457	462	522
126	179	95	460	479	539
127	40	130	462	470	530
128	172	179	466	466	526
129	152	190	468	477	537
130	186	8	468	473	533
131	155	22	469	475	535
132	129	176	469	479	539
133	59	24	470	471	531
134	97	129	474	477	537
135	149	78	476	478	538
